id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/6/hide_char_id,set_camera_shake,characters/3/hide_char_id,play_sound
d_main_29_01_s_1,d_main_29_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_01_s_1,True,rapi,5,idle,neon,3,idle,anis,1,idle,drilley,13,idle,fragile,15,idle,Drain,5,5,1.0,bgm_chapter29_field_drifting,,,,,,,,,,,
d_main_29_01_s_2,d_main_29_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_01_s_2,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,,,,,,,,,,
d_main_29_01_s_3,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_3,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,5,2,1.0,,,,,,,,,,,,
d_main_29_01_s_4,d_main_29_01_s,Speech,neon,neon,Locale_MainScenario:d_main_29_01_s_4,True,,5,idle,,3,worry,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,,,,
d_main_29_01_s_5,d_main_29_01_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_01_s_5,True,,5,idle,,3,worry,,1,idle,,13,idle,,15,idle,,2,14,1.0,,,,,,,,,,,,
d_main_29_01_s_6,d_main_29_01_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_01_s_6,True,,5,idle,,3,worry,,1,idle,,13,idle,,15,sorry,,14,14,1.0,,,,,,,,,,,,
d_main_29_01_s_7,d_main_29_01_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_01_s_7,True,,5,idle,,3,worry,,1,idle,,13,idle,,15,sorry,,14,14,1.0,,,,,,,,,,,,
d_main_29_01_s_8,d_main_29_01_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_01_s_8,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,sorry,,14,14,1.0,,trony_op_r,OP_rightup,idle,shifty,OP_leftup,idle,,,,,
d_main_29_01_s_9,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_9,True,,5,idle,,3,idle,,1,no,,13,idle,,15,sorry,,14,10,1.0,,,OP_rightup,idle,,OP_leftup,idle,,,,,
d_main_29_01_s_10,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_10,True,,5,idle,,3,idle,,1,no,,13,idle,,15,idle,,10,10,1.0,,,OP_rightup,idle,,OP_leftup,idle,,,,,
d_main_29_01_s_11,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_11,True,,5,idle,,3,idle,,1,no,,13,idle,,15,idle,,10,10,1.0,,,OP_rightup,idle,,OP_leftup,idle,,,,,
d_main_29_01_s_12,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_12,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,10,10,1.0,,,OP_rightup,idle,,OP_leftup,idle,trony_op_r,shifty,,,
d_main_29_01_s_13,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_13,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,10,10,1.0,,,,,,,,,,,,
d_main_29_01_s_14,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_14,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,10,10,1.0,,,,,,,,,,,,
d_main_29_01_s_15,d_main_29_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_01_s_15,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,10,4,1.0,,,,,,,,,,,,
d_main_29_01_s_16,d_main_29_01_s,Speech,neon,neon,Locale_MainScenario:d_main_29_01_s_16,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,
d_main_29_01_s_17,d_main_29_01_s,Speech,anis,anis,Locale_MainScenario:d_main_29_01_s_17,True,,5,idle,,3,idle,,1,delight,,13,idle,,15,idle,,10,10,1.0,,,,,,,,,,,,
d_main_29_01_s_18,d_main_29_01_s,Self,anis,,Locale_MainScenario:d_main_29_01_s_18,False,,5,idle,,3,idle,,1,delight,,13,idle,,15,idle,,10,10,1.0,,,,,,,,,,,,
d_main_29_01_s_19,d_main_29_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_01_s_19,True,,5,shy,,3,idle,,1,delight,,13,idle,,15,idle,,50,50,1.0,,,,,,,,,,,,
d_main_29_01_s_20,d_main_29_01_s,Self,rapi,,Locale_MainScenario:d_main_29_01_s_20,False,,5,shy,,3,idle,,1,delight,,13,idle,,15,idle,,50,5,1.0,,,,,,,,,,,,
d_main_29_01_s_21,d_main_29_01_s,Self,rapi,,Locale_MainScenario:d_main_29_01_s_21,False,,5,shy,,3,idle,,1,delight,,13,idle,,15,idle,,5,8,1.0,,trony_op_r,OP_right,idle,shifty,OP_left,idle,,,,,
d_main_29_01_s_22,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_22,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,idle,,OP_left,worry,,,,,
d_main_29_01_s_23,d_main_29_01_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_01_s_23,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,worry,,,,,
d_main_29_01_s_24,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_24,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,idle,,,,,
d_main_29_01_s_25,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_25,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,idle,,,,,
d_main_29_01_s_26,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_26,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,idle,,,,,
d_main_29_01_s_27,d_main_29_01_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_01_s_27,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,idle,,,,,
d_main_29_01_s_28,d_main_29_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_01_s_28,True,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,OP_right,think,,OP_left,idle,,,,,
