id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_19_03_1,d_main_19_03,Narration,Narration,Locale_MainScenario:d_main_19_03_1,False,TechIndoor,black,black,1.0,sfx_scn_autodooropen,bgm_peripeteia_a,,rapi,6,idle,anis,4,idle,neon,2,idle,papillon,12,idle
d_main_19_03_2,d_main_19_03,Speech,neon,Locale_MainScenario:d_main_19_03_2,True,,3,3,1.0,,,neon,,6,idle,,4,idle,,2,delight,,12,idle
d_main_19_03_3,d_main_19_03,Speech,anis,Locale_MainScenario:d_main_19_03_3,True,,3,3,1.0,,,anis,,6,idle,,4,idle,,2,delight,,12,idle
d_main_19_03_4,d_main_19_03,Speech,rapi,Locale_MainScenario:d_main_19_03_4,True,,60,60,1.0,,,rapi,,6,think,,4,idle,,2,idle,,12,idle
d_main_19_03_5,d_main_19_03,Speech,rapi,Locale_MainScenario:d_main_19_03_5,True,,60,60,1.0,,,rapi,,6,think,,4,idle,,2,idle,,12,idle
d_main_19_03_6,d_main_19_03,Speech,neon,Locale_MainScenario:d_main_19_03_6,True,,S_20,S_20,1.0,,,neon,,6,think,,4,idle,,2,no,,12,idle
d_main_19_03_7,d_main_19_03,Speech,papillon,Locale_MainScenario:d_main_19_03_7,True,,S_20,1,1.0,,,papillon,,6,idle,,4,idle,,2,no,,12,angry
d_main_19_03_8,d_main_19_03,Speech,papillon,Locale_MainScenario:d_main_19_03_8,True,,1,1,1.0,,,papillon,,6,idle,,4,idle,,2,idle,,12,angry
d_main_19_03_9,d_main_19_03,Speech,anis,Locale_MainScenario:d_main_19_03_9,True,,5,5,1.0,,,anis,,6,idle,,4,idle,,2,idle,,12,angry
d_main_19_03_10,d_main_19_03,Self,Self,Locale_MainScenario:d_main_19_03_10,False,,5,5,1.0,,,anis,,6,idle,,4,idle,,2,idle,,12,think
d_main_19_03_11,d_main_19_03,Speech,rapi,Locale_MainScenario:d_main_19_03_11,True,,5,5,1.0,,,rapi,,6,idle,,4,idle,,2,idle,,12,think
d_main_19_03_12,d_main_19_03,Speech,anis,Locale_MainScenario:d_main_19_03_12,True,,5,3,1.0,,,anis,,6,idle,,4,delight,,2,idle,,12,think
d_main_19_03_13,d_main_19_03,Speech,neon,Locale_MainScenario:d_main_19_03_13,True,,3,3,1.0,,,neon,,6,idle,,4,delight,,2,delight,,12,think
d_main_19_03_14,d_main_19_03,Speech,rapi,Locale_MainScenario:d_main_19_03_14,True,,3,5,1.0,,,rapi,,6,think,,4,delight,,2,delight,,12,think
