id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_library_06_1,d_ex_library_06,Monologue,Locale_SuddenStory:d_ex_library_06_1,False,Library,black,black,1.0,bgm_story_backtonormal,,,,marciana,1,idle,n102,13,idle,
d_ex_library_06_2,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_2,True,,113,113,1.0,,marciana,marciana,,,1,idle,,13,idle,
d_ex_library_06_3,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_3,True,,113,113,1.0,,n102,n102,,,1,idle,,13,idle,
d_ex_library_06_4,d_ex_library_06,Narration,Locale_SuddenStory:d_ex_library_06_4,False,,113,113,1.0,,,,,,1,idle,,13,idle,
d_ex_library_06_5,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_5,True,,113,113,1.0,,n102,n102,,,1,idle,,13,delight,
d_ex_library_06_6,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_6,False,,113,113,1.0,,marciana,marciana,,,1,idle,,13,delight,
d_ex_library_06_7,d_ex_library_06,Monologue,Locale_SuddenStory:d_ex_library_06_7,False,,113,113,1.0,,,,,,1,idle,,13,delight,
d_ex_library_06_8,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_8,True,,113,113,1.0,,marciana,marciana,,,1,idle,,13,delight,
d_ex_library_06_9,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_9,False,,113,XS_130,1.0,,n102,n102,,,1,idle,,13,idle,
d_ex_library_06_10,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_10,True,,XS_130,XS_130,1.0,,n102,n102,,,1,idle,,13,delight,
d_ex_library_06_11,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_11,True,,XS_130,10,1.0,,marciana,marciana,,,1,delight,,13,delight,
d_ex_library_06_12,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_12,True,,10,10,1.0,,marciana,marciana,,,1,delight,,13,idle,
d_ex_library_06_13,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_13,True,,10,113,1.0,,n102,n102,,,1,delight,,13,idle,
d_ex_library_06_14,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_14,True,,113,113,1.0,,marciana,marciana,,,1,delight,,13,idle,
d_ex_library_06_15,d_ex_library_06,Speech,Locale_SuddenStory:d_ex_library_06_15,True,,113,113,1.0,,n102,n102,,,1,delight,,13,delight,
