id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_subquest_1393_s_1,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_1,True,land_d,10,10,1.0,bgm_story_weare,,,rapi,1,idle
d_subquest_1393_s_2,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_2,True,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_3,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_3,True,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_4,d_subquest_1393_s,Self,,,Locale_SubScenario:d_subquest_1393_s_4,False,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_5,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_5,True,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_6,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_6,True,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_7,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_7,True,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_8,d_subquest_1393_s,Self,,,Locale_SubScenario:d_subquest_1393_s_8,False,,10,10,1.0,,,,,1,idle
d_subquest_1393_s_9,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_9,True,,10,100,1.0,,,,,1,idle
d_subquest_1393_s_10,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_10,True,,100,100,1.0,,,,,1,idle
d_subquest_1393_s_11,d_subquest_1393_s,Monologue,,,Locale_SubScenario:d_subquest_1393_s_11,False,,5,6,1.0,,,,,1,idle
d_subquest_1393_s_12,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_12,True,,100,100,1.0,,,,,1,idle
d_subquest_1393_s_13,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_13,True,,100,100,1.0,,,,,1,idle
d_subquest_1393_s_14,d_subquest_1393_s,Self,,,Locale_SubScenario:d_subquest_1393_s_14,False,,100,100,1.0,,,,,1,idle
d_subquest_1393_s_15,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_15,True,,100,100,1.0,none,,,,1,idle
d_subquest_1393_s_16,d_subquest_1393_s,Narration,,,Locale_SubScenario:d_subquest_1393_s_16,False,,5,5,1.0,,sfx_scn_4rapturestep,Low_2,,1,worry
d_subquest_1393_s_17,d_subquest_1393_s,Self,,,Locale_SubScenario:d_subquest_1393_s_17,False,,5,5,1.0,,,,,1,worry
d_subquest_1393_s_18,d_subquest_1393_s,Narration,,,Locale_SubScenario:d_subquest_1393_s_18,False,,10,100,0.7,bgm_story_armageddon,sfx_scn_aims,Low_2,,1,idle
d_subquest_1393_s_19,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_19,True,,100,100,1.0,,,,,1,idle
d_subquest_1393_s_20,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_20,True,,100,100,1.0,,,,,1,angry
d_subquest_1393_s_21,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_21,True,,100,100,1.0,,,,,1,angry
d_subquest_1393_s_22,d_subquest_1393_s,Self,,,Locale_SubScenario:d_subquest_1393_s_22,False,,100,100,1.0,,,,,1,angry
d_subquest_1393_s_23,d_subquest_1393_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1393_s_23,True,,100,100,1.0,,,,,1,idle
