id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_observationpost_02_1,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_1,True,BriefingRoom,1,XS_10,1.0,bgm_story_leisuretime,,delta,3,idle,signal,1,idle,,,,
d_ex_observationpost_02_2,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_2,True,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_3,d_ex_observationpost_02,Self,signal,,Locale_SuddenStory:d_ex_observationpost_02_3,False,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_4,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_4,True,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_5,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_5,True,,XS_10,XS_100,0.5,,,,3,idle,,1,shy,,,,
d_ex_observationpost_02_6,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_6,True,,XS_100,XS_100,1.0,,,,3,idle,,1,shy,,,,
d_ex_observationpost_02_7,d_ex_observationpost_02,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_02_7,True,,XS_100,2,1.0,,,,3,delight,,1,idle,,,,
d_ex_observationpost_02_8,d_ex_observationpost_02,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_02_8,True,,2,2,1.0,,,,3,delight,,1,idle,,,,
d_ex_observationpost_02_9,d_ex_observationpost_02,Self,delta,,Locale_SuddenStory:d_ex_observationpost_02_9,False,,2,2,1.0,,,,3,delight,,1,idle,,,,
d_ex_observationpost_02_10,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_10,True,,2,2,1.0,,,,3,idle,,1,delight,,,,
d_ex_observationpost_02_11,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_11,True,,2,2,1.0,,,,3,idle,,1,delight,,,,
d_ex_observationpost_02_12,d_ex_observationpost_02,Narration,signal,,Locale_SuddenStory:d_ex_observationpost_02_12,False,,2,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_13,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_13,True,,XS_10,XS_10,1.0,,,,3,idle,,1,delight,,,,
d_ex_observationpost_02_14,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_14,True,,XS_10,XS_10,1.0,,,,3,idle,,1,angry,,,,
d_ex_observationpost_02_15,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_15,True,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_16,d_ex_observationpost_02,Self,signal,,Locale_SuddenStory:d_ex_observationpost_02_16,False,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_17,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_17,True,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_18,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_18,True,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_19,d_ex_observationpost_02,Self,signal,,Locale_SuddenStory:d_ex_observationpost_02_19,False,,XS_10,XS_10,1.0,,,,3,idle,,1,idle,,,,
d_ex_observationpost_02_20,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_20,True,,XS_10,XS_100,0.5,,,,3,idle,,1,shy,,,,
d_ex_observationpost_02_21,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_21,True,,XS_100,XS_100,1.0,,,,3,idle,,1,shy,,,,
d_ex_observationpost_02_22,d_ex_observationpost_02,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_02_22,True,,XS_100,XS_100,1.0,,,,3,idle,,1,shy,,,,
