id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_redash_05_1_1,d_ex_redash_05_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_1_1,False,ArkRuinIndoor,black,black,1.0,none,,,,liliweiss,5,idle,commander,3,idle,
d_ex_redash_05_1_2,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_2,True,,50,50,1.0,event_bgm_redash_alldownhill,liliweiss,,,,5,idle,,3,idle,
d_ex_redash_05_1_3,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_3,True,,50,50,1.0,,liliweiss,,,,5,idle,,3,idle,
d_ex_redash_05_1_4,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_4,True,,L_30,L_30,1.0,,commander,,,,5,idle,,3,surprise,
d_ex_redash_05_1_5,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_5,True,,L_30,L_30,1.0,,commander,,,,5,idle,,3,surprise,
d_ex_redash_05_1_6,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_6,True,,L_30,4,1.0,,liliweiss,,,,5,think,,3,surprise,
d_ex_redash_05_1_7,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_7,True,,4,4,1.0,,commander,,,,5,think,,3,no,
d_ex_redash_05_1_8,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_8,False,,4,4,1.0,,liliweiss,,,,5,think,,3,no,
d_ex_redash_05_1_9,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_9,True,,4,4,1.0,,liliweiss,,,,5,delight,,3,no,
d_ex_redash_05_1_10,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_10,True,,4,4,1.0,,commander,,,,5,delight,,3,no,
d_ex_redash_05_1_11,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_11,True,,4,4,1.0,,commander,,,,5,delight,,3,no,
