id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,jump_target,conversation_id
d_ex_tower_02_1,d_ex_tower_02,Monologue,Locale_SuddenStory:d_ex_tower_02_1,False,black,black,1.0,none,,,,,,,,,,,,,
d_ex_tower_02_2,d_ex_tower_02,Narration,Locale_SuddenStory:d_ex_tower_02_2,False,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_02_3,d_ex_tower_02,Monologue,Locale_SuddenStory:d_ex_tower_02_3,False,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_02_4,d_ex_tower_02,Narration,Locale_SuddenStory:d_ex_tower_02_4,False,XS_10,XS_10,1.0,,Police,sfx_scn_autodooropen,,,,,,,,,,,
d_ex_tower_02_5,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_5,True,XS_10,XS_10,1.0,bgm_story_darklord,,,guillotine,guillotine,guillotine,1,delight,n102,13,delight,,,
d_ex_tower_02_6,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_6,True,XS_10,XS_10,1.0,,,,guillotine,guillotine,,1,delight,,13,delight,,,
d_ex_tower_02_7,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_7,True,XS_130,XS_130,1.0,,,,n102,n102,,1,delight,,13,delight,,,
d_ex_tower_02_8,d_ex_tower_02,Self,Locale_SuddenStory:d_ex_tower_02_8,False,XS_130,XS_130,1.0,,,,n102,,,1,delight,,13,delight,,,
d_ex_tower_02_9,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_9,True,XS_10,XS_10,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_10,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_10,True,XS_10,XS_10,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_11,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_11,True,XS_10,XS_10,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_12,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_12,True,XS_10,XS_10,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_13,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_13,True,XS_10,XS_100,0.5,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_14,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_14,True,XS_100,XS_100,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_15,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_15,True,XS_100,XS_100,1.0,,,,guillotine,guillotine,,1,idle,,13,delight,,,
d_ex_tower_02_16,d_ex_tower_02,Self,Locale_SuddenStory:d_ex_tower_02_16,False,XS_100,XS_1300,1.0,,,,guillotine,,,1,idle,,13,delight,,,
d_ex_tower_02_17,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_17,True,XS_1300,XS_130,1.0,,,,n102,n102,,1,idle,,13,idle,,,
d_ex_tower_02_18,d_ex_tower_02,Speech,Locale_SuddenStory:d_ex_tower_02_18,True,XS_130,XS_130,1.0,,,,n102,n102,,1,idle,,13,pain,,,
