id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_maidcafe_08_1,d_ex_maidcafe_08,Monologue,Locale_SuddenStory:d_ex_maidcafe_08_1,False,MaidCafe,12,12,1.0,bgm_story_backtonormal,,,,,,,,,,,,,,,,,
d_ex_maidcafe_08_2,d_ex_maidcafe_08,Monologue,Locale_SuddenStory:d_ex_maidcafe_08_2,False,,12,12,1.0,,,,,,,,,,,,,,,,,,
d_ex_maidcafe_08_3,d_ex_maidcafe_08,Narration,Locale_SuddenStory:d_ex_maidcafe_08_3,False,,12,12,1.0,,milk,1,angry,sugar,13,idle,sfx_scn_chimebell,,,,,,,,,,
d_ex_maidcafe_08_4,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_4,True,,12,13,1.0,,,1,angry,,13,idle,,sugar,sugar,,,,,,,,
d_ex_maidcafe_08_5,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_5,True,,13,XS_130,1.0,,,1,angry,,13,idle,,sugar,sugar,,,,,,,,
d_ex_maidcafe_08_6,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_6,True,,S_10,S_10,1.0,,,1,angry,,13,idle,,milk,milk,,,,,,,,
d_ex_maidcafe_08_7,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_7,True,,S_10,S_100,1.0,,,1,angry,,13,idle,,milk,milk,,,,,,,,
d_ex_maidcafe_08_8,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_8,True,,150,150,1.0,,,1,angry,,13,idle,,ade,ade,ade,15,delight,,,,,
d_ex_maidcafe_08_9,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_9,True,,150,15,1.0,,,1,angry,,13,idle,,ade,ade,,15,delight,,,,,
d_ex_maidcafe_08_10,d_ex_maidcafe_08,Monologue,Locale_SuddenStory:d_ex_maidcafe_08_10,False,,15,12,1.0,,,1,angry,,13,idle,,milk,,,15,delight,,,,,
d_ex_maidcafe_08_11,d_ex_maidcafe_08,Self,Locale_SuddenStory:d_ex_maidcafe_08_11,False,,12,12,1.0,,,1,angry,,13,idle,,milk,,,15,idle,,,,,
d_ex_maidcafe_08_12,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_12,True,,12,12,1.0,,,1,idle,,13,idle,,sugar,sugar,,15,idle,,,,,
d_ex_maidcafe_08_13,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_13,True,,12,12,1.0,,,1,idle,,13,idle,,sugar,sugar,,15,idle,,,,,
d_ex_maidcafe_08_14,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_14,True,,12,12,1.0,,,1,idle,,13,idle,,milk,milk,,15,idle,,,,,
d_ex_maidcafe_08_15,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_15,True,,12,S_10,1.0,,,1,no,,13,idle,,milk,milk,,15,idle,Low_2,,,,
d_ex_maidcafe_08_16,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_16,True,,S_10,S_10,1.0,,,1,no,,13,idle,,milk,milk,,15,idle,,,,,
d_ex_maidcafe_08_17,d_ex_maidcafe_08,Speech,Locale_SuddenStory:d_ex_maidcafe_08_17,True,,S_10,S_10,1.0,,,1,no,,13,idle,,milk,milk,,15,idle,,,,,
d_ex_maidcafe_08_18,d_ex_maidcafe_08,Self,Locale_SuddenStory:d_ex_maidcafe_08_18,False,,S_10,S_10,1.0,,,1,no,,13,idle,,,,,15,idle,,,,,
