id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hotel_07_1,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_1,False,LivingRoom,3,3,1.0,none,,,,,,,,,,,,
d_ex_hotel_07_2,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_2,True,,3,3,1.0,bgm_story_backtonormal,ludmilla_w,ludmilla_w,ludmilla_w,3,idle,,,,,,,
d_ex_hotel_07_3,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_3,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_4,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_4,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_5,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_5,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_6,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_6,False,,3,3,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_7,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_7,False,,3,3,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_8,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_8,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_9,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_9,True,,3,30,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_10,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_10,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_11,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_11,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_12,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_12,False,,30,30,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_13,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_13,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,sad,,,,,,,
d_ex_hotel_07_14,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_14,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_15,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_15,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_16,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_16,False,Hotel,black,black,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_17,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_17,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_18,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_18,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_19,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_19,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_20,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_20,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_21,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_21,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_22,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_22,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_23,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_23,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_24,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_24,False,,3,3,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_25,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_25,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_26,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_26,False,,9,90,0.3,,,,,3,think,sfx_scn_knock,,,,,,
d_ex_hotel_07_27,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_27,True,,90,3,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_28,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_28,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_29,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_29,False,Corridor,3,9,1.0,,,,,3,surprise,sfx_scn_autodooropen,,,,,,
d_ex_hotel_07_30,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_30,True,,9,9,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_31,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_31,True,,9,9,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_32,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_32,False,,9,9,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_33,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_33,False,,9,90,0.3,,,,,3,think,,,,,,,
d_ex_hotel_07_34,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_34,True,Hotel,90,3,1.0,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,
d_ex_hotel_07_35,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_35,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_36,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_36,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_37,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_37,False,,3,3,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_38,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_38,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_39,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_39,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_40,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_40,False,,3,3,1.0,,,,,3,smile,,,,,,,
d_ex_hotel_07_41,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_41,False,,black,black,1.0,,,,,3,smile,,,,,,,
