id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_13_03_1,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_1,True,Desert_01,10,10,1.0,bgm_emergency,,,,,anis,3,void,,rapi,1,idle,,neon,13,idle,,,,,,shifty,OP_leftup,angry,
d_main_13_03_2,d_main_13_03,Speech,rapi,rapi,Locale_MainScenario:d_main_13_03_2,True,,10,10,1.0,,,,,,,3,void,,,1,idle,,,13,idle,,,,,,,OP_leftup,angry,
d_main_13_03_3,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_3,True,,10,100,0.5,,,,,,,3,void,,,1,idle,,,13,idle,,,,,,,OP_leftup,angry,
d_main_13_03_4,d_main_13_03,Narration,,,Locale_MainScenario:d_main_13_03_4,True,,100,12,2.0,,sfx_scn_earthquake,Low_2,,,,3,angry,,,1,angry,,,13,surprise,,,,,,,OP_leftup,angry,shifty
d_main_13_03_5,d_main_13_03,Monologue,,,Locale_MainScenario:d_main_13_03_5,True,,12,2,1.0,,,Low_2,,,,3,angry,,,1,angry,,,13,surprise,,,,,,,,,
d_main_13_03_6,d_main_13_03,Monologue,,,Locale_MainScenario:d_main_13_03_6,True,,2,2,1.0,,,Low_2,,,,3,angry,,,1,angry,,,13,surprise,,,,,,,,,
d_main_13_03_7,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_7,True,,black,black,1.0,,,,,,,3,angry,anis,,1,angry,rapi,,13,surprise,neon,,,,,,,,
d_main_13_03_8,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_8,True,Desert_02,3,30,2.0,bgm_disaster,,,black,,modenia_v,3,surprise,,eunhwa,1,idle,,emma,13,idle,,vesti,15,idle,,,,,
d_main_13_03_9,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_9,True,,30,2,1.0,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_10,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_10,True,,2,2,1.0,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_11,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_11,True,,2,10,1.0,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_12,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_12,True,,10,10,0.5,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_13,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_13,True,,30,30,1.0,,,,,,,3,angry,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_13_03_14,d_main_13_03,Speech,emma,emma,Locale_MainScenario:d_main_13_03_14,True,,130,130,1.0,,,,,,,3,angry,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_15,d_main_13_03,Speech,emma,emma,Locale_MainScenario:d_main_13_03_15,True,,130,130,1.0,,,,,,,3,angry,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_16,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_16,True,,130,12,1.0,,,,,,,3,angry,,,1,angry,,,13,worry,,,15,idle,,,,,
d_main_13_03_17,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_17,True,,12,2,2.0,,,,,,,3,idle,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_18,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_18,True,,2,30,1.0,,,,,,,3,angry,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_19,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_19,True,,30,30,1.0,,,,,,,3,angry,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_20,d_main_13_03,Speech,emma,emma,Locale_MainScenario:d_main_13_03_20,True,,130,130,1.0,,,,,,,3,idle,,,1,idle,,,13,worry,,,15,idle,,,,,
d_main_13_03_21,d_main_13_03,Speech,vesti,vesti,Locale_MainScenario:d_main_13_03_21,True,,130,XS_150,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_13_03_22,d_main_13_03,Speech,vesti,vesti,Locale_MainScenario:d_main_13_03_22,True,,XS_150,XS_150,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,
d_main_13_03_23,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_23,True,,12,12,1.0,,,,,,,3,idle,,,1,delight,,,13,idle,,,15,idle,,,,,
d_main_13_03_24,d_main_13_03,Speech,emma,emma,Locale_MainScenario:d_main_13_03_24,True,,12,12,1.0,,,,,,,3,idle,,,1,idle,,,13,delight,,,15,idle,,,,,
d_main_13_03_25,d_main_13_03,Speech,vesti,vesti,Locale_MainScenario:d_main_13_03_25,True,,12,14,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,15,delight,,,,,
d_main_13_03_26,d_main_13_03,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_13_03_26,True,,10,100,0.5,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_27,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_27,True,,30,300,2.0,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
d_main_13_03_28,d_main_13_03,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_13_03_28,True,,300,300,1.0,,,,,,,3,idle,,,1,angry,,,13,idle,,,15,idle,,,,,
