id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_filter_01,set_camera_shake
d_ex_command_06_1,d_ex_command_06,Narration,Locale_SuddenStory:d_ex_command_06_1,False,CommanderRoom_n,12,12,1.0,sfx_scn_autodooropen,bgm_story_cosmos,,,,,,,,,,,
d_ex_command_06_2,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_2,True,,12,12,1.0,,,blanc,blanc,noir,1,idle,blanc,13,idle,,,
d_ex_command_06_3,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_3,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,,
d_ex_command_06_4,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_4,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_5,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_5,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,,
d_ex_command_06_6,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_6,False,,12,12,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_7,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_7,True,,12,L_130,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_8,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_8,True,,L_130,L_130,1.0,,,blanc,blanc,,1,idle,,13,shy,,,
d_ex_command_06_9,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_9,True,,L_130,L_130,1.0,,,blanc,blanc,,1,idle,,13,shy,,,
d_ex_command_06_10,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_10,True,,L_130,L_10,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_11,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_11,True,,L_10,L_10,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_12,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_12,False,,L_10,L_10,1.0,,,,,,1,idle,,13,shy,,,
d_ex_command_06_13,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_13,True,,L_10,L_10,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_14,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_14,True,,L_10,L_10,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_15,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_15,False,,L_10,L_10,1.0,,,,,,1,idle,,13,shy,,,
d_ex_command_06_16,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_16,True,,L_10,12,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_17,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_17,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_18,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_18,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_19,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_19,False,,12,12,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_20,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_20,False,,12,12,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_21,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_21,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,think,,,
d_ex_command_06_22,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_22,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,think,,,
d_ex_command_06_23,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_23,True,,12,12,1.0,,,noir,noir,,1,surprise,,13,think,,,
d_ex_command_06_24,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_24,True,,12,12,1.0,,,noir,noir,,1,surprise,,13,think,,,
