id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_shopping_04_1,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_1,True,ShoppingMall,13,1,2.0,bgm_story_whosdumber,,,maiden,1,idle,,,,
d_ex_shopping_04_2,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_2,True,,1,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_3,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_3,True,,S_10,S_100,2.0,,,,,1,idle,,,,
d_ex_shopping_04_4,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_4,True,,S_100,S_100,1.0,,,,,1,idle,,,,
d_ex_shopping_04_5,d_ex_shopping_04,Self,maiden,,Locale_SuddenStory:d_ex_shopping_04_5,True,,S_100,S_100,1.0,,,,,1,idle,,,,
d_ex_shopping_04_6,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_6,True,,S_100,S_10,0.5,,,,,1,shy,,,,
d_ex_shopping_04_7,d_ex_shopping_04,Self,maiden,,Locale_SuddenStory:d_ex_shopping_04_7,True,,S_10,S_10,1.0,,,,,1,shy,,,,
d_ex_shopping_04_8,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_8,True,,S_10,S_10,1.0,,,,,1,shy,,,,
d_ex_shopping_04_9,d_ex_shopping_04,Self,maiden,,Locale_SuddenStory:d_ex_shopping_04_9,True,,S_10,S_10,1.0,,,,,1,shy,,,,
d_ex_shopping_04_10,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_10,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_11,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_11,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_12,d_ex_shopping_04,Self,maiden,,Locale_SuddenStory:d_ex_shopping_04_12,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_13,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_13,True,,S_10,S_100,2.0,,,,,1,shy,,,,
d_ex_shopping_04_14,d_ex_shopping_04,Narration,maiden,,Locale_SuddenStory:d_ex_shopping_04_14,True,,S_100,S_100,1.0,,sfx_scn_paperopen,,,1,idle,,,,
d_ex_shopping_04_15,d_ex_shopping_04,Monologue,maiden,,Locale_SuddenStory:d_ex_shopping_04_15,True,,S_100,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_16,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_16,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_17,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_17,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_18,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_18,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_19,d_ex_shopping_04,Self,maiden,,Locale_SuddenStory:d_ex_shopping_04_19,True,,S_10,S_10,1.0,,,,,1,idle,,,,
d_ex_shopping_04_20,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_20,True,,S_10,S_10,1.0,,,,,1,shy,,,,
d_ex_shopping_04_21,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_21,True,,black,black,1.0,,,,,1,shy,,volume,3,idle
d_ex_shopping_04_22,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_22,True,,S_10,S_30,1.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_23,d_ex_shopping_04,Self,volume,,Locale_SuddenStory:d_ex_shopping_04_23,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_24,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_24,True,,S_30,S_30,1.0,,,,,1,idle,,,3,delight
d_ex_shopping_04_25,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_25,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_26,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_26,True,,S_30,S_30,1.0,,,,,1,idle,,,3,angry
d_ex_shopping_04_27,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_27,True,,S_30,2,1.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_28,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_28,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_29,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_29,True,,2,2,1.0,,,,,1,shy,,,3,delight
d_ex_shopping_04_30,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_30,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_31,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_31,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_32,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_32,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_33,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_33,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_34,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_34,True,,2,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_35,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_35,True,,2,S_30,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_36,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_36,True,,S_30,S_30,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_37,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_37,True,,S_30,S_10,2.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_38,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_38,True,,S_30,S_30,1.0,,,,,1,idle,,,3,delight
d_ex_shopping_04_39,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_39,True,,S_30,S_300,0.5,,,,,1,idle,,,3,idle
d_ex_shopping_04_40,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_40,True,,S_300,S_300,1.0,,,,,1,idle,,,3,idle
d_ex_shopping_04_41,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_41,True,,S_300,S_300,1.0,,,,,1,idle,,,3,delight
d_ex_shopping_04_42,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_42,True,,S_10,S_100,2.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_43,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_43,True,,S_100,2,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_44,d_ex_shopping_04,Monologue,volume,,Locale_SuddenStory:d_ex_shopping_04_44,True,,2,3,1.0,,,,,1,shy,,,3,idle
d_ex_shopping_04_45,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_45,True,,3,S_30,1.0,,,,,1,shy,,,3,surprise
d_ex_shopping_04_46,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_46,True,,S_30,S_30,1.0,,,,,1,shy,,,3,idle
