id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_17_02_1,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_1,True,RuinIndoor,10,10,1.0,bgm_story_thepilgrim,,rapunzel,1,idle,neon,13,idle,,rapi,15,idle,,anis,17,pain,
d_main_17_02_2,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_2,True,,10,10,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_3,d_main_17_02,Speech,neon,neon,Locale_MainScenario:d_main_17_02_3,True,,10,113,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_4,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_4,True,,113,113,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_5,d_main_17_02,Speech,neon,neon,Locale_MainScenario:d_main_17_02_5,True,,113,113,1.0,,,,1,idle,,13,no,,,15,idle,,,17,pain,
d_main_17_02_6,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_6,True,,113,113,1.0,,,,1,idle,,13,no,,,15,idle,,,17,pain,
d_main_17_02_7,d_main_17_02,Speech,neon,neon,Locale_MainScenario:d_main_17_02_7,True,,113,113,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_8,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_8,True,,113,113,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_9,d_main_17_02,Speech,rapi,rapi,Locale_MainScenario:d_main_17_02_9,True,,113,1517,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_10,d_main_17_02,Speech,rapi,rapi,Locale_MainScenario:d_main_17_02_10,True,,1517,1517,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_11,d_main_17_02,Speech,anis,anis,Locale_MainScenario:d_main_17_02_11,False,,1517,1517,1.0,,,,1,idle,,13,idle,,,15,idle,,,17,pain,
d_main_17_02_12,d_main_17_02,Monologue,anis,,Locale_MainScenario:d_main_17_02_12,False,,black,black,1.0,none,,,1,idle,,13,idle,neon,,15,idle,rapi,,17,pain,anis
d_main_17_02_13,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_13,True,,10,10,1.0,,,,1,shy,,,,,,,,,,,,
d_main_17_02_14,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_14,True,,10,10,1.0,,,,1,shy,,,,,,,,,,,,
d_main_17_02_15,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_15,True,,10,100,0.5,,,,1,pain,,,,,,,,,,,,
d_main_17_02_16,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_16,False,,100,100,1.0,,,,1,pain,,,,,,,,,,,,
d_main_17_02_17,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_17,True,,100,10,1.0,,,,1,delight,,,,,,,,,,,,
d_main_17_02_18,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_18,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_19,d_main_17_02,Choice,rapunzel,,Locale_MainScenario:d_main_17_02_19,False,,10,10,1.0,,d_main_17_02_21,,1,idle,,,,,,,,,,,,
d_main_17_02_20,d_main_17_02,Choice,rapunzel,,Locale_MainScenario:d_main_17_02_20,False,,10,10,1.0,,d_main_17_02_22,,1,idle,,,,,,,,,,,,
d_main_17_02_21,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_21,True,,10,10,1.0,,d_main_17_02_24,,1,idle,,,,,,,,,,,,
d_main_17_02_22,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_22,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_23,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_23,True,,10,10,1.0,,d_main_17_02_24,,1,idle,,,,,,,,,,,,
d_main_17_02_24,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_24,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_25,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_25,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_26,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_26,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_27,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_27,False,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_28,d_main_17_02,Monologue,rapunzel,,Locale_MainScenario:d_main_17_02_28,False,,black,black,1.0,none,,,1,idle,,,,,,,,,,,,
d_main_17_02_29,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_29,True,,1,1,1.0,bgm_story_6f6e6573656c66,,,1,idle,,,,,,,,,,,,
d_main_17_02_30,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_30,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_31,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_31,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_32,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_32,True,,1,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_33,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_33,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_34,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_34,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_35,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_35,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_36,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_36,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_37,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_37,False,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_38,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_38,True,,10,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_39,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_39,False,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_40,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_40,True,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_41,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_41,True,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_42,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_42,True,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_43,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_43,True,,100,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_44,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_44,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_45,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_45,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_46,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_46,False,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_47,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_47,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_48,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_48,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_49,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_49,True,,1,1,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_50,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_50,True,,1,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_51,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_51,False,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_52,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_52,True,,100,100,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_53,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_53,True,,100,100,1.0,,,,1,shy,,,,,,,,,,,,
d_main_17_02_54,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_54,True,,100,100,1.0,,,,1,pain,,,,,,,,,,,,
d_main_17_02_55,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_55,False,,100,100,1.0,,,,1,pain,,,,,,,,,,,,
d_main_17_02_56,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_56,True,,100,100,1.0,,,,1,shy,,,,,,,,,,,,
d_main_17_02_57,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_57,False,,100,100,1.0,,,,1,shy,,,,,,,,,,,,
d_main_17_02_58,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_58,True,,100,10,1.0,,,,1,no,,,,,,,,,,,,
d_main_17_02_59,d_main_17_02,Self,rapunzel,,Locale_MainScenario:d_main_17_02_59,False,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_60,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_60,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_61,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_61,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_62,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_62,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
d_main_17_02_63,d_main_17_02,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_02_63,True,,10,10,1.0,,,,1,idle,,,,,,,,,,,,
