id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_gym_11_1,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_1,True,Gym,50,50,1.0,bgm_story_leisuretime,,,ade_b,5,angry,,,,
d_ex_gym_11_2,d_ex_gym_11,Narration,ade_b,,Locale_SuddenStory:d_ex_gym_11_2,False,,50,50,1.0,,sfx_scn_medhit,,,5,angry,,,,
d_ex_gym_11_3,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_3,True,,50,50,1.0,,,,,5,angry,,,,
d_ex_gym_11_4,d_ex_gym_11,Narration,ade_b,,Locale_SuddenStory:d_ex_gym_11_4,False,,50,50,1.0,,sfx_scn_onetwohard,,,5,angry,,,,
d_ex_gym_11_5,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_5,True,,50,500,0.5,,,,,5,no,,,,
d_ex_gym_11_6,d_ex_gym_11,Narration,ade_b,,Locale_SuddenStory:d_ex_gym_11_6,False,,black,black,1.0,,sfx_scn_hitbonebreak,,,5,no,,novel,1,idle
d_ex_gym_11_7,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_7,True,,S_10,S_10,1.0,,,,,5,no,,,1,idle
d_ex_gym_11_8,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_8,True,,S_10,S_100,1.0,,,,,5,idle,ade_b,,1,idle
d_ex_gym_11_9,d_ex_gym_11,Self,novel,,Locale_SuddenStory:d_ex_gym_11_9,False,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_10,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_10,True,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_11,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_11,True,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_12,d_ex_gym_11,Self,novel,,Locale_SuddenStory:d_ex_gym_11_12,False,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_13,d_ex_gym_11,Self,novel,,Locale_SuddenStory:d_ex_gym_11_13,False,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_14,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_14,True,,S_100,S_100,1.0,,,,,,,,,1,think
d_ex_gym_11_15,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_15,True,,S_100,S_100,1.0,,,,,,,,,1,think
d_ex_gym_11_16,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_16,True,,S_100,S_100,1.0,,,,,,,,,1,think
d_ex_gym_11_17,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_17,True,,S_100,S_100,1.0,,,,,,,,,1,idle
d_ex_gym_11_18,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_18,True,,S_100,2,1.5,,,,ade_b,3,idle,,,1,idle
d_ex_gym_11_19,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_19,True,,2,2,1.0,,,,,3,idle,,,1,idle
d_ex_gym_11_20,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_20,True,,2,2,1.0,,,,,3,idle,,,1,idle
d_ex_gym_11_21,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_21,True,,2,2,1.0,,,,,3,idle,,,1,think
d_ex_gym_11_22,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_22,True,,2,2,1.0,,,,,3,surprise,,,1,think
d_ex_gym_11_23,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_23,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_24,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_24,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_25,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_25,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_26,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_26,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_27,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_27,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_28,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_28,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_29,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_29,True,,2,2,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_30,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_30,True,,2,2,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_31,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_31,True,,2,2,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_32,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_32,True,,2,30,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_33,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_33,True,,30,30,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_34,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_34,True,,30,30,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_35,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_35,True,,30,S_10,1.0,,,,,3,angry,,,1,idle
d_ex_gym_11_36,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_36,True,,30,300,0.5,,,,,3,no,,,1,idle
d_ex_gym_11_37,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_37,True,,S_10,S_100,0.5,,,,,3,no,,,1,idle
d_ex_gym_11_38,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_38,True,,S_100,S_100,1.0,,,,,3,no,,,1,idle
d_ex_gym_11_39,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_39,True,,S_100,S_100,1.0,,,black,,3,no,ade_b,,1,pain
d_ex_gym_11_40,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_40,True,,S_100,S_10,1.5,,,,,,,,,1,pain
d_ex_gym_11_41,d_ex_gym_11,Self,novel,,Locale_SuddenStory:d_ex_gym_11_41,False,,S_10,S_10,1.0,,,,,,,,,1,pain
d_ex_gym_11_42,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_42,True,,S_10,S_10,1.0,,,,,,,,,1,think
d_ex_gym_11_43,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_43,True,,S_10,S_10,1.0,,,,,,,,,1,think
d_ex_gym_11_44,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_44,True,,S_10,S_10,1.0,,,,,,,,,1,think
d_ex_gym_11_45,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_45,True,,S_10,S_10,1.0,,,,,,,,,1,think
d_ex_gym_11_46,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_46,True,,S_10,2,1.2,,,,ade_b,3,idle,,,1,think
d_ex_gym_11_47,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_47,True,,2,2,1.0,,,,,3,idle,,,1,pain
d_ex_gym_11_48,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_48,True,,2,2,1.0,,,,,3,idle,,,1,pain
d_ex_gym_11_49,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_49,True,,2,2,1.0,,,,,3,idle,,,1,pain
d_ex_gym_11_50,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_50,True,,2,2,1.0,,,,,3,idle,,,1,pain
d_ex_gym_11_51,d_ex_gym_11,Narration,novel,,Locale_SuddenStory:d_ex_gym_11_51,False,,black,black,1.0,,,black,,3,idle,,,1,pain
d_ex_gym_11_52,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_52,True,,2,2,1.0,,,,,3,delight,,,1,think
d_ex_gym_11_53,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_53,True,,2,2,1.0,,,,,3,delight,,,1,think
d_ex_gym_11_54,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_54,True,,2,S_10,1.5,,,,,3,delight,,,1,think
d_ex_gym_11_55,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_55,True,,S_10,S_100,0.5,,,,,3,delight,,,1,think
d_ex_gym_11_56,d_ex_gym_11,Monologue,novel,,Locale_SuddenStory:d_ex_gym_11_56,False,,S_100,S_100,1.0,,sfx_scn_whooshfast,,,3,delight,,,1,think
d_ex_gym_11_57,d_ex_gym_11,Narration,novel,,Locale_SuddenStory:d_ex_gym_11_57,False,,S_100,S_100,1.0,,sfx_scn_hitbonebreak,,,3,delight,,,1,think
d_ex_gym_11_58,d_ex_gym_11,Monologue,novel,,Locale_SuddenStory:d_ex_gym_11_58,False,,S_100,S_100,1.0,,,,,3,delight,,,1,think
d_ex_gym_11_59,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_59,True,,30,30,1.0,,,,,3,surprise,,,1,think
d_ex_gym_11_60,d_ex_gym_11,Self,ade_b,,Locale_SuddenStory:d_ex_gym_11_60,False,,30,30,1.0,,,,,3,surprise,,,1,think
d_ex_gym_11_61,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_61,True,,30,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_62,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_62,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_63,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_63,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_64,d_ex_gym_11,Speech,novel,novel,Locale_SuddenStory:d_ex_gym_11_64,True,,2,2,1.0,,,,,3,surprise,,,1,idle
d_ex_gym_11_65,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_65,True,,2,2,1.0,,,,,3,delight,,,1,idle
d_ex_gym_11_66,d_ex_gym_11,Speech,ade_b,ade_b,Locale_SuddenStory:d_ex_gym_11_66,True,,2,2,1.0,,,,,3,delight,,,1,idle
