id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_maidcafe_11_1,d_ex_maidcafe_11,Narration,Locale_SuddenStory:d_ex_maidcafe_11_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_leisuretime,,,,,soda,1,idle,,vesti_t,13,idle,,,,,
d_ex_maidcafe_11_2,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_2,True,,S_10,S_10,1.0,,,soda,soda,,,,1,idle,,,13,idle,,,,,
d_ex_maidcafe_11_3,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_3,True,,S_10,XS_130,1.0,,,vesti_t,vesti_t,,,,1,idle,,,13,delight,,,,,
d_ex_maidcafe_11_4,d_ex_maidcafe_11,Self,Locale_SuddenStory:d_ex_maidcafe_11_4,False,,XS_130,XS_130,1.0,,,vesti_t,,,,,1,idle,,,13,delight,,,,,
d_ex_maidcafe_11_5,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_5,True,,XS_130,XS_130,1.0,,,vesti_t,vesti_t,,,,1,idle,,,13,idle,,,,,
d_ex_maidcafe_11_6,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_6,True,,XS_130,XS_130,1.0,,,vesti_t,vesti_t,,,,1,idle,,,13,idle,,,,,
d_ex_maidcafe_11_7,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_7,True,,XS_130,113,1.0,,,soda,soda,,,,1,idle,,,13,idle,,,,,
d_ex_maidcafe_11_8,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_8,True,,113,113,1.0,,,vesti_t,vesti_t,,,,1,idle,,,13,worry,,,,,
d_ex_maidcafe_11_9,d_ex_maidcafe_11,Narration,Locale_SuddenStory:d_ex_maidcafe_11_9,False,,113,13,1.0,,,vesti_t,,,,,1,idle,,,13,worry,,,,,
d_ex_maidcafe_11_10,d_ex_maidcafe_11,Speech,Locale_SuddenStory:d_ex_maidcafe_11_10,True,,13,XS_130,1.0,,,vesti_t,vesti_t,,,,1,idle,,,13,worry,,,,,
