id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,speaker,play_sound,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_church_08_1,d_ex_church_08,Monologue,d,Locale_SuddenStory:d_ex_church_08_1,False,1,1,1.0,none,,,,,,,,,,,,,,,,
d_ex_church_08_2,d_ex_church_08,Self,d,Locale_SuddenStory:d_ex_church_08_2,False,1,1,1.0,bgm_story_fairytalesend_if,Church,,,,,,,,,,,,,,,
d_ex_church_08_3,d_ex_church_08,Monologue,d,Locale_SuddenStory:d_ex_church_08_3,False,1,1,1.0,,,d,3,idle,k,1,idle,arcana,13,idle,,,,,,
d_ex_church_08_4,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_4,True,30,30,1.0,,,,3,idle,,1,idle,,13,idle,d,,,,,
d_ex_church_08_5,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_5,True,S_10,S_10,1.0,,,,3,idle,,1,idle,,13,idle,k,,,,,
d_ex_church_08_6,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_6,True,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,delight,arcana,,,,,
d_ex_church_08_7,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_7,False,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,delight,,,,,,
d_ex_church_08_8,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_8,True,L_130,12,1.3,,,,3,idle,,1,idle,,13,smile,arcana,,,,,
d_ex_church_08_9,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_9,True,12,12,1.0,,,,3,idle,,1,idle,,13,smile,arcana,,,,,
d_ex_church_08_10,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_10,True,12,12,1.0,,,,3,idle,,1,idle,,13,smile,arcana,,,,,
d_ex_church_08_11,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_11,False,12,12,1.0,,,,3,idle,,1,idle,,13,smile,,,,,,
d_ex_church_08_12,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_12,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,arcana,,,,,
d_ex_church_08_13,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_13,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,arcana,,,,,
d_ex_church_08_14,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_14,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,arcana,,,,,
d_ex_church_08_15,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_15,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,k,,,,,
d_ex_church_08_16,d_ex_church_08,Self,k,Locale_SuddenStory:d_ex_church_08_16,False,12,12,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_17,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_17,True,12,2,0.8,,,,3,think,,1,idle,,13,idle,d,,,,,
d_ex_church_08_18,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_18,True,2,2,1.0,,,,3,think,,1,idle,,13,idle,d,,,,,
d_ex_church_08_19,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_19,True,2,2,1.0,,,,3,idle,,1,idle,,13,idle,d,,,,,
d_ex_church_08_20,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_20,True,2,2,1.0,,,,3,idle,,1,idle,,13,idle,d,,,,,
d_ex_church_08_21,d_ex_church_08,Self,d,Locale_SuddenStory:d_ex_church_08_21,False,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_22,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_22,True,2,2,1.0,,,,3,idle,,1,idle,,13,idle,d,,,,,
d_ex_church_08_23,d_ex_church_08,Self,d,Locale_SuddenStory:d_ex_church_08_23,False,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_24,d_ex_church_08,Monologue,d,Locale_SuddenStory:d_ex_church_08_24,False,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_25,d_ex_church_08,Self,d,Locale_SuddenStory:d_ex_church_08_25,False,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_26,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_26,True,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,shy,arcana,,,,,
d_ex_church_08_27,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_27,True,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,shy,arcana,,,,,
d_ex_church_08_28,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_28,True,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,shy,arcana,,,,,
d_ex_church_08_29,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_29,True,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,sad,arcana,,,,,
d_ex_church_08_30,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_30,True,30,30,1.0,,,,3,angry,,1,idle,,13,sad,d,,,,,
d_ex_church_08_31,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_31,True,30,30,1.0,,,,3,angry,,1,idle,,13,sad,d,,,,,
d_ex_church_08_32,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_32,True,L_130,L_130,1.0,,,,3,angry,,1,idle,,13,surprise,arcana,,,,,
d_ex_church_08_33,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_33,True,L_130,12,1.0,,,,3,angry,,1,think,,13,surprise,k,,,,,
d_ex_church_08_34,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_34,True,12,12,1.0,,,,3,angry,,1,think,,13,no,arcana,,,,,
d_ex_church_08_35,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_35,True,12,12,1.0,,,,3,angry,,1,think,,13,idle,arcana,,,,,
d_ex_church_08_36,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_36,False,12,12,1.0,,,,3,idle,,1,think,,13,idle,,,,,,
d_ex_church_08_37,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_37,True,12,12,1.0,,,,3,idle,,1,think,,13,idle,arcana,,,,,
d_ex_church_08_38,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_38,False,12,12,1.0,,,,3,idle,,1,think,,13,idle,,,,,,
d_ex_church_08_39,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_39,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,k,,,,,
d_ex_church_08_40,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_40,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,k,,,,,
d_ex_church_08_41,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_41,True,12,12,1.0,,,,3,idle,,1,idle,,13,idle,k,,,,,
d_ex_church_08_42,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_42,True,12,12,1.0,,,,3,idle,,1,surprise,,13,idle,k,,,,,
d_ex_church_08_43,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_43,True,12,12,1.0,,,,3,idle,,1,surprise,,13,idle,arcana,,,,,
d_ex_church_08_44,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_44,True,12,12,1.0,,,,3,idle,,1,surprise,,13,idle,arcana,,,,,
d_ex_church_08_45,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_45,False,12,12,1.0,,,,3,idle,,1,surprise,,13,idle,,,,,,
d_ex_church_08_46,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_46,True,12,12,1.0,,,,3,idle,,1,surprise,,13,smile,arcana,,,,,
d_ex_church_08_47,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_47,True,12,2,0.7,,,,3,idle,,1,surprise,,13,smile,d,,,,,
d_ex_church_08_48,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_48,True,2,2,1.0,,,,3,idle,,1,think,,13,smile,k,,,,,
d_ex_church_08_49,d_ex_church_08,Self,k,Locale_SuddenStory:d_ex_church_08_49,False,2,2,1.0,,,,3,idle,,1,think,,13,smile,,,,,,
d_ex_church_08_50,d_ex_church_08,Narration,k,Locale_SuddenStory:d_ex_church_08_50,False,2,2,1.0,none,,,3,idle,,1,idle,,13,idle,,sfx_scn_rustle_2,,,,
d_ex_church_08_51,d_ex_church_08,Self,k,Locale_SuddenStory:d_ex_church_08_51,False,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_52,d_ex_church_08,Monologue,k,Locale_SuddenStory:d_ex_church_08_52,False,black,black,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_53,d_ex_church_08,Narration,k,Locale_SuddenStory:d_ex_church_08_53,False,black,black,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_54,d_ex_church_08,Monologue,k,Locale_SuddenStory:d_ex_church_08_54,False,black,black,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,
d_ex_church_08_55,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_55,True,L_130,L_1300,0.5,bgm_story_tomboyprincess,,,3,idle,,1,idle,,13,surprise,arcana,,,,,
d_ex_church_08_56,d_ex_church_08,Monologue,arcana,Locale_SuddenStory:d_ex_church_08_56,False,L_1300,L_1300,1.0,,,,3,idle,,1,idle,,13,surprise,,,,,,
d_ex_church_08_57,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_57,True,L_1300,L_1300,1.0,,,,3,idle,,1,idle,,13,surprise,arcana,,,,,
d_ex_church_08_58,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_58,True,L_1300,L_1300,1.0,,,,3,idle,,1,idle,,13,surprise,arcana,,,,,
d_ex_church_08_59,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_59,False,L_1300,L_1300,1.0,,,,3,idle,,1,idle,,13,surprise,,,,,,
d_ex_church_08_60,d_ex_church_08,Self,arcana,Locale_SuddenStory:d_ex_church_08_60,False,L_1300,L_1300,1.0,,,,3,idle,,1,idle,,13,surprise,,,,,,
d_ex_church_08_61,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_61,True,2,2,1.0,,,,3,think,,1,surprise,,13,surprise,d,,,,,
d_ex_church_08_62,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_62,True,2,2,1.0,,,,3,think,,1,surprise,,13,surprise,k,,,,,
d_ex_church_08_63,d_ex_church_08,Self,k,Locale_SuddenStory:d_ex_church_08_63,False,2,2,1.0,,,,3,think,,1,surprise,,13,surprise,,,,,,
d_ex_church_08_64,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_64,True,2,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_65,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_65,True,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_66,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_66,True,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_67,d_ex_church_08,Self,k,Locale_SuddenStory:d_ex_church_08_67,False,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,,,,,,
d_ex_church_08_68,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_68,True,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_69,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_69,True,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_70,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_70,True,S_10,30,1.0,,,,3,think,,1,think,,13,surprise,d,,,,,
d_ex_church_08_71,d_ex_church_08,Narration,d,Locale_SuddenStory:d_ex_church_08_71,False,30,2,0.5,,,,3,surprise,,1,surprise,,13,surprise,,,,,,
d_ex_church_08_72,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_72,True,L_130,L_1300,0.5,,,,3,surprise,,1,surprise,,13,surprise,arcana,,,,,
d_ex_church_08_73,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_73,True,L_1300,L_1300,1.0,,,,3,surprise,,1,surprise,,13,surprise,arcana,,,,,
d_ex_church_08_74,d_ex_church_08,Monologue,arcana,Locale_SuddenStory:d_ex_church_08_74,False,L_1300,L_1300,1.0,,,,3,surprise,,1,surprise,,13,surprise,,,,,,
d_ex_church_08_75,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_75,True,S_10,S_10,1.0,,,,3,think,,1,think,,13,surprise,k,,,,,
d_ex_church_08_76,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_76,True,30,30,1.0,,,,3,think,,1,think,,13,surprise,d,,,,,
d_ex_church_08_77,d_ex_church_08,Monologue,d,Locale_SuddenStory:d_ex_church_08_77,False,30,2,1.5,,,,3,think,,1,think,,13,surprise,,,,,,
d_ex_church_08_78,d_ex_church_08,Choice,d,Locale_SuddenStory:d_ex_church_08_78,False,2,2,1.0,,,,3,think,,1,think,,13,surprise,,,d_ex_church_08_80,,,
d_ex_church_08_79,d_ex_church_08,Choice,d,Locale_SuddenStory:d_ex_church_08_79,False,2,2,1.0,,,,3,think,,1,think,,13,surprise,,,d_ex_church_08_80,,,
d_ex_church_08_80,d_ex_church_08,Speech,arcana,Locale_SuddenStory:d_ex_church_08_80,True,130,130,1.0,,,,3,think,,1,think,,13,surprise,arcana,,,,,
d_ex_church_08_81,d_ex_church_08,Narration,d,Locale_SuddenStory:d_ex_church_08_81,False,130,2,1.5,,,,3,angry,,1,angry,,13,surprise,,,,,,
d_ex_church_08_82,d_ex_church_08,Speech,d,Locale_SuddenStory:d_ex_church_08_82,True,2,2,1.0,,,,3,angry,,1,angry,,13,surprise,d,,,,,
d_ex_church_08_83,d_ex_church_08,Speech,k,Locale_SuddenStory:d_ex_church_08_83,True,2,2,1.0,,,,3,angry,,1,angry,,13,surprise,k,,,,,
d_ex_church_08_84,d_ex_church_08,Monologue,k,Locale_SuddenStory:d_ex_church_08_84,False,2,2,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,
d_ex_church_08_85,d_ex_church_08,Narration,k,Locale_SuddenStory:d_ex_church_08_85,False,2,2,1.0,,,,3,surprise,,1,shy,,13,surprise,,,,,,
d_ex_church_08_86,d_ex_church_08,Narration,k,Locale_SuddenStory:d_ex_church_08_86,False,2,2,1.0,,,,4,surprise,,2,shy,,13,surprise,,,,,,
