id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_40_06_1,d_main_40_06,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_40_06_1,True,nayuta_n,1,idle,WhaleyBack,100,100,1.0,bgm_chapter40_field_turningpoint_b,,,,,
d_main_40_06_2,d_main_40_06,Monologue,nayuta_n,,Locale_MainScenario:d_main_40_06_2,False,,1,idle,,100,10,1.0,,,,,,
d_main_40_06_3,d_main_40_06,Self,nayuta_n,,Locale_MainScenario:d_main_40_06_3,False,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_4,d_main_40_06,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_40_06_4,True,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_5,d_main_40_06,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_40_06_5,True,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_6,d_main_40_06,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_40_06_6,True,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_7,d_main_40_06,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_40_06_7,True,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_8,d_main_40_06,Self,nayuta_n,,Locale_MainScenario:d_main_40_06_8,False,,1,idle,,10,10,1.0,,,,,,
d_main_40_06_9,d_main_40_06,Monologue,nayuta_n,,Locale_MainScenario:d_main_40_06_9,False,,1,idle,,black,black,1.0,,nayuta_n,rapi_red,13,idle,
d_main_40_06_10,d_main_40_06,Monologue,nayuta_n,,Locale_MainScenario:d_main_40_06_10,False,,,,,black,black,1.0,,,,13,idle,
d_main_40_06_11,d_main_40_06,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_40_06_11,True,,,,,130,130,1.0,,,,13,idle,
d_main_40_06_12,d_main_40_06,Self,rapi_red,,Locale_MainScenario:d_main_40_06_12,False,,,,,130,130,1.0,,,,13,idle,
d_main_40_06_13,d_main_40_06,Self,rapi_red,,Locale_MainScenario:d_main_40_06_13,False,,,,,130,130,1.0,,,,13,idle,
d_main_40_06_14,d_main_40_06,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_40_06_14,True,,,,,130,130,1.0,,,,13,idle,
