id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade
d_ex_clothingstore_11_1,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_1,True,emma_t,1,idle,ClothingStore,100,100,1.0,bgm_story_cottoncandy,,,
d_ex_clothingstore_11_2,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_2,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_3,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_3,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_4,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_4,True,,1,delight,,100,10,1.0,,,,
d_ex_clothingstore_11_5,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_5,True,,1,surprise,,10,10,1.0,,,,
d_ex_clothingstore_11_6,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_6,True,,1,surprise,,10,10,1.0,,,,
d_ex_clothingstore_11_7,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_7,True,,1,surprise,,10,10,1.0,,,,
d_ex_clothingstore_11_8,d_ex_clothingstore_11,Self,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_8,False,,1,surprise,,10,10,1.0,,,,
d_ex_clothingstore_11_9,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_9,True,,1,surprise,,10,10,1.0,,,,
d_ex_clothingstore_11_10,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_10,True,,1,surprise,,10,100,1.0,,,,
d_ex_clothingstore_11_11,d_ex_clothingstore_11,Self,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_11,False,,1,surprise,,100,100,1.0,,,,
d_ex_clothingstore_11_12,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_12,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_13,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_13,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_14,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_14,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_15,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_15,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_16,d_ex_clothingstore_11,Self,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_16,False,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_17,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_17,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_18,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_18,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_19,d_ex_clothingstore_11,Narration,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_19,False,,1,idle,,100,10,1.0,,,,
d_ex_clothingstore_11_20,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_20,True,,1,idle,,10,10,1.0,,,,
d_ex_clothingstore_11_21,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_21,True,,1,idle,,10,10,1.0,,,,
d_ex_clothingstore_11_22,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_22,True,,1,idle,,10,10,1.0,,,,
d_ex_clothingstore_11_23,d_ex_clothingstore_11,Choice,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_23,False,,1,idle,,10,10,1.0,,d_ex_clothingstore_11_25,,
d_ex_clothingstore_11_24,d_ex_clothingstore_11,Choice,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_24,False,,1,idle,,10,10,1.0,,d_ex_clothingstore_11_27,,
d_ex_clothingstore_11_25,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_25,True,,1,idle,,10,100,1.0,,,,
d_ex_clothingstore_11_26,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_26,True,,1,idle,,100,100,1.0,,d_ex_clothingstore_11_29,,
d_ex_clothingstore_11_27,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_27,True,,1,idle,,10,100,1.0,,,,
d_ex_clothingstore_11_28,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_28,True,,1,idle,,100,100,1.0,,d_ex_clothingstore_11_29,,
d_ex_clothingstore_11_29,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_29,True,,1,delight,,100,100,1.0,,,,
d_ex_clothingstore_11_30,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_30,True,,1,delight,,100,100,1.0,,,,
d_ex_clothingstore_11_31,d_ex_clothingstore_11,Self,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_31,False,,1,delight,,100,100,1.0,,,,
d_ex_clothingstore_11_32,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_32,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_33,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_33,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_34,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_34,True,,1,idle,,100,100,1.0,,,,
d_ex_clothingstore_11_35,d_ex_clothingstore_11,Choice,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_35,False,,1,idle,,100,100,1.0,,d_ex_clothingstore_11_37,,
d_ex_clothingstore_11_36,d_ex_clothingstore_11,Choice,emma_t,,Locale_SuddenStory:d_ex_clothingstore_11_36,False,,1,idle,,100,100,1.0,,d_ex_clothingstore_11_40,,
d_ex_clothingstore_11_37,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_37,True,,1,idle,,100,10,1.0,,,,
d_ex_clothingstore_11_38,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_38,True,,1,idle,,10,10,1.0,,,,
d_ex_clothingstore_11_39,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_39,True,,1,idle,,10,10,1.0,,d_ex_clothingstore_11_43,,
d_ex_clothingstore_11_40,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_40,True,,1,idle,,100,10,1.0,,,,
d_ex_clothingstore_11_41,d_ex_clothingstore_11,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_clothingstore_11_41,True,,1,idle,,10,10,1.0,,,,
