id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,play_sound,set_camera_shake,set_filter_01
d_main_29_09_s_1,d_main_29_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_1,True,rapi,7,idle,anis,5,idle,neon,3,idle,elegg,1,surprise,fragile,13,idle,drilley,15,idle,shifty,OP_leftup,surprise,trony_op_r,OP_rightup,idle,CrystalField_2,2,2,1.0,bgm_enemyclose,,,,,,,,
d_main_29_09_s_2,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_2,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,2,2,1.0,,,,,,,,,
d_main_29_09_s_3,d_main_29_09_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_09_s_3,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,2,2,1.0,,,,,,,,,
d_main_29_09_s_4,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_4,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,2,2,1.0,,,,,,,,,
d_main_29_09_s_5,d_main_29_09_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_s_5,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,2,13,1.0,,,,,,,,,
d_main_29_09_s_6,d_main_29_09_s,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_6,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,13,S_130,1.0,,,,,,,,,
d_main_29_09_s_7,d_main_29_09_s,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_7,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,S_130,S_130,1.0,,,,,,,,,
d_main_29_09_s_8,d_main_29_09_s,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_8,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,White,S_130,16,1.0,,elegg,fragile,drilley,shifty,trony_op_r,,,
d_main_29_09_s_9,d_main_29_09_s,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_9,False,,7,idle,,5,idle,,3,idle,,,,,,,,,,,,,,,,,16,16,1.0,,,,,,,,,
d_main_29_09_s_10,d_main_29_09_s,Speech,anis,anis,Locale_MainScenario:d_main_29_09_s_10,True,,7,idle,,5,idle,,3,idle,elegg,1,surprise,fragile,13,idle,drilley,15,idle,shifty,OP_leftup,surprise,trony_op_r,OP_rightup,idle,CrystalField_2,4,4,1.0,,,,,,,,,
d_main_29_09_s_11,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_11,True,,7,idle,,5,idle,,3,no,,1,surprise,,13,idle,,15,idle,,OP_leftup,surprise,,OP_rightup,idle,,4,4,1.0,,,,,,,,,
d_main_29_09_s_12,d_main_29_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_12,True,,7,idle,,5,idle,,3,no,,1,surprise,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,4,4,1.0,,,,,,,,,
d_main_29_09_s_13,d_main_29_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_13,True,,7,idle,,5,idle,,3,no,,1,surprise,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,4,4,1.0,,,,,,,,,
d_main_29_09_s_14,d_main_29_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_14,True,,7,idle,,5,idle,,3,no,,1,surprise,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,4,4,1.0,,,,,,,,,
