id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/4/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01
d_main_33_10_e_1,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_1,False,EventScene_Chap_33_05,Chap_33_05_01_1,1,1.0,bgm_story_confront,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_2,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_3,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_4,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_5,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_6,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_7,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_8,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_8,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_9,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_10,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_10,True,,1,1,1.0,,Low_2,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_11,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_11,True,,1,1,1.0,,Low_2,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_12,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_12,True,,1,1,1.0,,Low_2,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_13,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_13,True,,1,Chap_33_05_01_1,2.0,,,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_14,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_14,True,,Chap_33_05_01_1,Chap_33_05_01_1,1.0,,,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_15,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_15,True,,Chap_33_05_01_1,Chap_33_05_01_1,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_16,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_16,True,,black,black,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_17,d_main_33_10_e,Speech,Locale_MainScenario:d_main_33_10_e_17,True,EventScene_Chap_33_06_01,black,black,1.0,,,cinderella,cinderella,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_18,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_18,False,,Chap_33_06_01_1,1,1.0,,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_19,d_main_33_10_e,Narration,Locale_MainScenario:d_main_33_10_e_19,False,,1,1,1.0,,,,,sfx_scn_heavybeam,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_20,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_20,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_21,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_21,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_22,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_22,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_10_e_23,d_main_33_10_e,Monologue,Locale_MainScenario:d_main_33_10_e_23,False,WhiteHouse,black,black,1.0,,,,,,cinderella,1,idle_alt,,,,,,,,,,,,,,,,,,,,,,
