id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_10_06_1,d_main_10_06,Monologue,Locale_MainScenario:d_main_10_06_1,False,rapi,1,idle,eunhwa,3,idle,emma,13,idle,vesti,15,idle,Desert_02_n,1,1,1.0,bgm_areah,,,,,,,,,,,,,,
d_main_10_06_2,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_2,True,,1,idle,,3,idle,,13,idle,,15,idle,,1,12,1.0,,emma,emma,,,,,,,,,,,,
d_main_10_06_3,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_3,True,,1,idle,,3,idle,,13,idle,,15,idle,,12,12,1.0,,rapi,rapi,,,,,,,,,,,,
d_main_10_06_4,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_4,True,,1,idle,,3,idle,,13,idle,,15,idle,,12,12,1.0,,emma,emma,,,,,,,,,,,,
d_main_10_06_5,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_5,True,,1,idle,,3,angry,,13,idle,,15,idle,,12,2,1.0,,eunhwa,eunhwa,,,,,,,,,,,,
d_main_10_06_6,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_6,True,,1,idle,,3,angry,,13,idle,,15,idle,,2,2,1.0,,eunhwa,eunhwa,,,,,,,,,,,,
d_main_10_06_7,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_7,True,,1,idle,,3,angry,,13,idle,,15,idle,,2,2,1.0,,eunhwa,eunhwa,,,,,,,,,,,,
d_main_10_06_8,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_8,True,,1,idle,,3,angry,,13,worry,,15,idle,,2,12,1.0,,emma,emma,,,,,,,,,,,,
d_main_10_06_9,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_9,True,,1,idle,,3,angry,,13,worry,,15,idle,,12,3,0.8,,eunhwa,eunhwa,,,,,,,,,,,,
d_main_10_06_10,d_main_10_06,Speech,Locale_MainScenario:d_main_10_06_10,True,,1,idle,,3,angry,,13,worry,,15,idle,,15,15,1.0,,vesti,vesti,,,,,,,,,,,,
