id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound
d_ex_cafe_01_1,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_1,True,Cafe,16,1,2.0,none,,,,,,,,,,,,
d_ex_cafe_01_2,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_2,True,,1,1,1.0,,,,,,,,,,,,,
d_ex_cafe_01_3,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_3,True,,1,1,1.0,,,,,,,,,,,,,
d_ex_cafe_01_4,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_4,True,,3,3,1.0,bgm_story_whosdumber,milk,milk,sugar,1,idle,milk,3,idle,frima,13,idle,
d_ex_cafe_01_5,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_5,True,,3,3,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_6,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_6,True,,3,3,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_7,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_7,True,,3,3,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_8,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_8,True,,3,S_30,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_9,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_9,True,,S_30,S_300,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_10,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_10,False,,S_300,S_300,1.0,,milk,,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_11,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_11,True,,S_300,S_100,2.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_12,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_12,True,,S_100,S_100,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_13,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_13,True,,black,black,1.0,,sugar,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_14,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_14,True,,1,1,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_15,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_15,True,,3,3,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_16,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_16,False,,13,13,1.0,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_17,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_17,True,,13,130,1.0,,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_18,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_18,True,,130,1,1.0,none,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_19,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_19,False,,1,1,1.0,,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_20,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_20,True,,1,1,1.0,,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_21,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_21,True,,1,S_10,1.0,bgm_story_herecomestrouble,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_22,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_22,True,,S_10,S_100,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_23,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_23,True,,S_100,1300,1.0,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_24,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_24,True,,1300,S_300,1.0,,milk,milk,,1,idle,,3,delight,,13,idle,
d_ex_cafe_01_25,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_25,False,,S_300,S_30,1.0,,milk,,,1,idle,,3,delight,,13,idle,
d_ex_cafe_01_26,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_26,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_27,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_27,True,,S_30,S_300,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_28,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_28,True,,S_10,S_10,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_29,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_29,True,,S_10,S_100,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_30,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_30,True,,S_100,2,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_31,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_31,True,,2,2,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_32,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_32,True,,2,2,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_33,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_33,True,,2,S_30,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_34,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_34,True,,130,130,1.0,,frima,frima,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_35,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_35,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_36,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_36,True,,130,1300,0.5,,frima,frima,,1,idle,,3,idle,,13,idle,
