id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_22_02_s_1,d_main_22_02_s,Monologue,Locale_MainScenario:d_main_22_02_s_1,False,DestroyedStreet,black,black,1.0,bgm_collapse_a,,,,,rapi,1,idle,anis,13,worry,neon,15,idle,poli,3,sad,miranda,5,idle
d_main_22_02_s_2,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_2,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,sad,,5,idle
d_main_22_02_s_3,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_3,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_4,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_4,False,,XS_30,XS_30,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_5,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_5,True,,XS_30,XS_300,2.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,surprise,,5,idle
d_main_22_02_s_6,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_6,True,,XS_300,S_500,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,surprise,,5,idle
d_main_22_02_s_7,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_7,False,,S_500,XS_300,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_8,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_8,True,,XS_300,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_9,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_9,True,,130,130,1.0,,anis,anis,,,,1,idle,,13,void,,15,idle,,3,angry,,5,idle
d_main_22_02_s_10,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_10,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,void,,15,idle,,3,angry,,5,idle
d_main_22_02_s_11,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_11,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,void,,15,idle,,3,angry,,5,idle
d_main_22_02_s_12,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_12,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_13,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_13,True,,XS_30,31,1.0,,rapi,rapi,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_14,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_14,True,,31,31,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_15,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_15,True,,31,31,1.0,,rapi,rapi,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_16,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_16,True,,31,31,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_17,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_17,True,,130,130,1.0,,anis,anis,,,,1,idle,,13,void,,15,idle,,3,idle,,5,idle
d_main_22_02_s_18,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_18,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,void,,15,idle,,3,idle,,5,idle
d_main_22_02_s_19,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_19,True,,130,130,1.0,,anis,anis,,,,1,idle,,13,void,,15,idle,,3,idle,,5,idle
d_main_22_02_s_20,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_20,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,void,,15,idle,,3,idle,,5,idle
d_main_22_02_s_21,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_21,True,,XS_150,XS_150,1.0,,neon,neon,,,,1,idle,,13,void,,15,worry,,3,idle,,5,idle
d_main_22_02_s_22,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_22,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,void,,15,worry,,3,idle,,5,idle
d_main_22_02_s_23,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_23,True,,XS_30,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_24,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_24,False,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_25,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_25,True,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_26,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_26,True,,53,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,think
d_main_22_02_s_27,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_27,True,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,think
d_main_22_02_s_28,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_28,True,,53,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_29,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_29,True,,53,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_30,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_30,False,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_31,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_31,True,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_32,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_32,True,,53,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_33,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_33,False,,53,XS_30,2.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_34,d_main_22_02_s,Self,Locale_MainScenario:d_main_22_02_s_34,False,,XS_30,XS_30,1.0,,,,,,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle
d_main_22_02_s_35,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_35,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_36,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_36,True,,XS_30,XS_30,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_37,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_37,True,,S_50,S_50,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_38,d_main_22_02_s,Monologue,Locale_MainScenario:d_main_22_02_s_38,False,,black,black,1.0,,,,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_39,d_main_22_02_s,Monologue,Locale_MainScenario:d_main_22_02_s_39,False,,black,black,1.0,,,,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_40,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_40,True,,5,S_500,1.0,none,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle
d_main_22_02_s_41,d_main_22_02_s,Narration,Locale_MainScenario:d_main_22_02_s_41,False,,S_500,S_500,1.0,,,,sfx_scn_rapturebeam,Low_2,,1,idle,,13,worry,,15,idle,,3,sad,,5,idle
d_main_22_02_s_42,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_42,True,,S_500,53,0.5,bgm_disaster,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,sad,,5,think
d_main_22_02_s_43,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_43,True,,53,53,1.0,,miranda,miranda,,,,1,idle,,13,worry,,15,idle,,3,sad,,5,think
d_main_22_02_s_44,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_44,True,,53,53,1.0,,poli,poli,,,,1,idle,,13,worry,,15,idle,,3,sad,,5,think
d_main_22_02_s_45,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_45,True,,1315,1315,1.0,,neon,neon,,,,1,idle,,13,worry,,15,no,,3,sad,,5,think
d_main_22_02_s_46,d_main_22_02_s,Speech,Locale_MainScenario:d_main_22_02_s_46,False,,1315,1315,1.0,,anis,anis,,,,1,idle,,13,no,,15,no,,3,sad,,5,think
