id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,set_filter_01,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/8/hide_char_id,characters/9/hide_char_id,characters/6/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
d_main_31_08_1,d_main_31_08,Narration,behemoth,Locale_MainScenario:d_main_31_08_1,False,vesti,9,idle,emma,7,angry,eunhwa,5,idle,rapi,3,idle,neon,1,idle,anis,13,void,behemoth,17,void,CrystalField_2,17,170,0.7,sfx_scn_bulletproof,bgm_chapter31_field_beast_b,,,,,,,,,,,,,,,,,
d_main_31_08_2,d_main_31_08,Speech,behemoth,Locale_MainScenario:d_main_31_08_2,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,170,170,1.0,,,behemoth,,,,,,,,,,,,,,,,
d_main_31_08_3,d_main_31_08,Speech,eunhwa,Locale_MainScenario:d_main_31_08_3,True,,9,idle,,7,angry,,5,surprise,,3,idle,,1,idle,,13,void,,17,void,,6,6,1.0,,,eunhwa,,,,,,,,,,,,,,,,
d_main_31_08_4,d_main_31_08,Speech,emma,Locale_MainScenario:d_main_31_08_4,True,,9,idle,,7,angry,,5,surprise,,3,idle,,1,idle,,13,void,,17,void,,6,6,1.0,,,emma,,,,,,,,,,,,,,,,
d_main_31_08_5,d_main_31_08,Speech,eunhwa,Locale_MainScenario:d_main_31_08_5,True,,9,idle,,7,angry,,5,angry,,3,idle,,1,idle,,13,void,,17,void,,6,50,1.0,,,eunhwa,,,,,,,,,,,,,,,,
d_main_31_08_6,d_main_31_08,Self,eunhwa,Locale_MainScenario:d_main_31_08_6,False,,9,idle,,7,angry,,5,angry,,3,idle,,1,idle,,13,void,,17,void,,50,9,1.0,,,,,,,,,,,,,,,,,,,
d_main_31_08_7,d_main_31_08,Speech,vesti,Locale_MainScenario:d_main_31_08_7,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,9,XS_90,1.0,,,vesti,,,,,,,,,,,,,,,,
d_main_31_08_8,d_main_31_08,Speech,vesti,Locale_MainScenario:d_main_31_08_8,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,XS_90,XS_90,1.0,,,vesti,,,,,,,,,,,,,,,,
d_main_31_08_9,d_main_31_08,Speech,vesti,Locale_MainScenario:d_main_31_08_9,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,XS_90,XS_90,1.0,,,vesti,,,,,,,,,,,,,,,,
d_main_31_08_10,d_main_31_08,Speech,vesti,Locale_MainScenario:d_main_31_08_10,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,XS_90,XS_900,1.0,,,vesti,,,,,,,,,,,,,,,,
d_main_31_08_11,d_main_31_08,Narration,vesti,Locale_MainScenario:d_main_31_08_11,False,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,XS_900,XS_900,1.0,sfx_scn_missilelauncherfires,,,Low_2,,,,,,,,,,,,,,,
d_main_31_08_12,d_main_31_08,Narration,vesti,Locale_MainScenario:d_main_31_08_12,False,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,13,void,,17,void,,XS_900,XS_900,1.0,,,,,,,,,,,,,,,,,,,
