id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id
d_main_17af_04_1,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_1,True,syuen,1,angry,Corridor,1,1,1.0,none,,,,,,,,,,,,,,,
d_main_17af_04_2,d_main_17af_04,Choice,syuen,,Locale_MainScenario:d_main_17af_04_2,False,,1,angry,,1,1,1.0,,d_main_17af_04_4,,,,,,,,,,,,,,
d_main_17af_04_3,d_main_17af_04,Choice,syuen,,Locale_MainScenario:d_main_17af_04_3,False,,1,angry,,1,1,1.0,,d_main_17af_04_5,,,,,,,,,,,,,,
d_main_17af_04_4,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_4,True,,1,angry,,1,1,1.0,,d_main_17af_04_7,,,,,,,,,,,,,,
d_main_17af_04_5,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_5,True,,1,angry,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_6,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_6,True,,1,think,,1,1,1.0,,d_main_17af_04_7,,,,,,,,,,,,,,
d_main_17af_04_7,d_main_17af_04,Self,syuen,,Locale_MainScenario:d_main_17af_04_7,False,,1,think,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_8,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_8,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_9,d_main_17af_04,Self,syuen,,Locale_MainScenario:d_main_17af_04_9,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_10,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_10,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_11,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_11,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_12,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_12,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_13,d_main_17af_04,Self,syuen,,Locale_MainScenario:d_main_17af_04_13,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_14,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_14,True,,1,angry,,1,XS_10,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_15,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_15,True,,1,angry,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_16,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_16,True,,1,angry,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_17,d_main_17af_04,Self,syuen,,Locale_MainScenario:d_main_17af_04_17,False,,1,angry,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_18,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_18,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,,
d_main_17af_04_19,d_main_17af_04,Narration,syuen,,Locale_MainScenario:d_main_17af_04_19,False,,1,idle,none,black,black,1.0,,,sfx_scn_autodooropen,,,,,,,,,,,,,
d_main_17af_04_20,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_20,True,,1,idle,MachineRoom,1,1,1.0,,,,laplace,3,idle,drake,5,idle,maxwell,7,idle,,,,
d_main_17af_04_21,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_21,True,,1,idle,,1,7,3.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_22,d_main_17af_04,Self,syuen,,Locale_MainScenario:d_main_17af_04_22,False,,1,idle,,7,7,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_23,d_main_17af_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_17af_04_23,False,,1,idle,,7,7,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_24,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_24,True,,1,idle,,7,53,1.0,,,,,3,idle,,5,delight,,7,idle,,,,
d_main_17af_04_26,d_main_17af_04,Self,laplace,,Locale_MainScenario:d_main_17af_04_26,False,,1,idle,,53,53,1.0,,,,,3,idle,,5,delight,,7,idle,,,,
d_main_17af_04_27,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_27,False,,1,idle,,53,53,1.0,,,,,3,idle,,5,no,,7,idle,,,,
d_main_17af_04_28,d_main_17af_04,Speech,drake,drake,Locale_MainScenario:d_main_17af_04_28,True,,1,idle,,53,75,1.0,,,,,3,idle,,5,no,,7,idle,,,,
d_main_17af_04_29,d_main_17af_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_17af_04_29,True,,1,idle,,75,75,1.0,,,,,3,idle,,5,no,,7,sad,,,,
d_main_17af_04_30,d_main_17af_04,Speech,tvvoice,tvvoice,Locale_MainScenario:d_main_17af_04_30,True,,1,idle,,75,13,1.0,,,,,3,idle,,5,no,,7,sad,,,,
d_main_17af_04_31,d_main_17af_04,Speech,tvvoice,tvvoice,Locale_MainScenario:d_main_17af_04_31,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_32,d_main_17af_04,Speech,citizen_op,citizen_op,Locale_MainScenario:d_main_17af_04_32,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_33,d_main_17af_04,Speech,citizen_op,citizen_op,Locale_MainScenario:d_main_17af_04_33,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_34,d_main_17af_04,Speech,citizen_op,citizen_op,Locale_MainScenario:d_main_17af_04_34,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_35,d_main_17af_04,Speech,citizen_op,citizen_op,Locale_MainScenario:d_main_17af_04_35,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_36,d_main_17af_04,Speech,tvvoice,tvvoice,Locale_MainScenario:d_main_17af_04_36,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_37,d_main_17af_04,Speech,tvvoice,tvvoice,Locale_MainScenario:d_main_17af_04_37,True,,1,idle,,13,13,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_38,d_main_17af_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_17af_04_38,True,,1,idle,,13,75,1.0,,,,,3,idle,,5,idle,,7,sad,,,,
d_main_17af_04_39,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_39,True,,1,idle,,75,53,1.0,,,,,3,angry,,5,idle,,7,sad,,,,
d_main_17af_04_40,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_40,True,,1,idle,,53,53,1.0,,,,,3,angry,,5,idle,,7,idle,,,,
d_main_17af_04_41,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_41,True,,1,idle,,53,S_30,2.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_42,d_main_17af_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_17af_04_42,True,,1,idle,,S_30,70,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_43,d_main_17af_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_17af_04_43,True,,1,idle,,70,70,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_44,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_44,False,,1,idle,,70,S_30,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_45,d_main_17af_04,Narration,laplace,,Locale_MainScenario:d_main_17af_04_45,False,,1,idle,,S_30,1,2.0,,,sfx_scn_remotesignal,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_46,d_main_17af_04,Monologue,laplace,,Locale_MainScenario:d_main_17af_04_46,False,,1,idle,,1,1,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_47,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_47,True,,1,delight,,1,1,1.0,bgm_story_stormbreakers,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_48,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_48,True,,1,delight,,1,1,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_49,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_49,True,,1,delight,,1,1,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_50,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_50,True,,1,delight,,1,XS_10,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_51,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_51,True,,1,delight,,XS_10,XS_10,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_52,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_52,True,,1,delight,,XS_10,XS_10,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_53,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_53,True,,1,delight,,XS_10,XS_10,1.0,,,,,3,idle,,5,idle,,7,idle,,,,
d_main_17af_04_54,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_54,True,,1,delight,,XS_10,XS_10,1.0,,,,,3,angry,,5,idle,,7,idle,,,,
d_main_17af_04_55,d_main_17af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_55,True,,1,delight,,XS_10,XS_100,2.0,,,,,3,angry,,5,idle,,7,idle,,,,
d_main_17af_04_56,d_main_17af_04,Speech,laplace,laplace,Locale_MainScenario:d_main_17af_04_56,False,,1,delight,,S_300,S_300,1.0,,,,,3,angry,,5,idle,,7,idle,,,,
