id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,characters/3/hide_char_id
d_main_21_03_e_1,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_1,True,Launcher,1,1,1.0,bgm_intotheswarm_a,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_03_e_2,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_03_e_3,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_3,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_03_e_4,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_4,True,,1,L_10,1.0,,anis,7,void,neon,5,idle,rapi,3,idle,johan,1,delight,harran,13,idle,noah,15,idle,,,,,,,,
d_main_21_03_e_5,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_5,False,,L_10,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_6,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_6,True,,L_10,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_7,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_7,True,,L_10,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_8,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_8,False,,L_10,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_9,d_main_21_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_21_03_e_9,True,,L_10,31,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_10,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_10,True,,31,31,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
