id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_23_03_s_1,d_main_23_03_s,Narration,Locale_MainScenario:d_main_23_03_s_1,False,OuterrimWall,black,black,1.0,bgm_greyhaze_a,,,rapi,7,idle,anis,5,worry,neon,3,idle,,,
d_main_23_03_s_2,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_2,True,,S_30,S_30,1.0,,neon,neon,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_3,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_3,True,,S_30,S_30,1.0,,neon,neon,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_4,d_main_23_03_s,Self,Locale_MainScenario:d_main_23_03_s_4,False,,S_30,,1.0,,,,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_5,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_5,True,,S_30,4,1.0,,anis,anis,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_6,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_6,True,,4,4,1.0,,anis,anis,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_7,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_7,True,,4,4,1.0,,neon,neon,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_8,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_8,True,,4,4,1.0,,neon,neon,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_9,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_9,True,,4,4,1.0,,neon,neon,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_10,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_10,False,,4,6,1.0,,rapi,rapi,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_11,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_11,True,,6,6,1.0,,rapi,rapi,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_12,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_12,True,,6,6,1.0,,rapi,rapi,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_13,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_13,True,,6,6,1.0,,anis,anis,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_14,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_14,True,,6,6,1.0,,anis,anis,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_15,d_main_23_03_s,Self,Locale_MainScenario:d_main_23_03_s_15,False,,6,6,1.0,,,,,7,idle,,5,worry,,3,idle,,,
d_main_23_03_s_16,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_16,True,,6,70,1.0,,rapi,rapi,,7,idle,,5,void,,3,idle,,,
d_main_23_03_s_17,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_17,False,,70,70,1.0,,rapi,moran,,7,idle,,5,void,,3,idle,,,
d_main_23_03_s_18,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_18,False,,70,70,1.0,,rapi,moran,,7,idle,,5,void,,3,idle,,,
d_main_23_03_s_19,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_19,False,,70,3,1.0,,neon,neon,,7,idle,,5,void,,3,surprise,,,
d_main_23_03_s_20,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_20,True,,3,3,1.0,,neon,neon,,7,idle,,5,void,,3,surprise,,,
d_main_23_03_s_21,d_main_23_03_s,Self,Locale_MainScenario:d_main_23_03_s_21,False,,3,3,1.0,,,,,7,idle,,5,void,,3,surprise,moran,17,worry
d_main_23_03_s_22,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_22,True,,3,17,1.0,,moran,moran,,7,idle,,5,void,,3,surprise,,17,worry
d_main_23_03_s_23,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_23,False,,17,17,1.0,,moran,rapi,,7,idle,,5,void,,3,surprise,,17,worry
d_main_23_03_s_24,d_main_23_03_s,Speech,Locale_MainScenario:d_main_23_03_s_24,True,,17,170,1.0,,moran,moran,,7,idle,,5,void,,3,surprise,,17,worry
d_main_23_03_s_25,d_main_23_03_s,Self,Locale_MainScenario:d_main_23_03_s_25,False,,170,170,1.0,,,,,7,idle,,5,void,,3,surprise,,17,worry
