id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_subquest_1432_e_1,d_subquest_1432_e,Narration,grave,Locale_SubScenario:d_subquest_1432_e_1,False,CountryVillage_d,3,1,2.0,bgm_frostpillar,,grave,1,idle,,,
d_subquest_1432_e_2,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_2,True,,1,L_10,1.0,,grave,,1,idle,,,
d_subquest_1432_e_3,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_3,False,,L_10,L_10,1.0,,,,1,idle,,,
d_subquest_1432_e_4,d_subquest_1432_e,Monologue,grave,Locale_SubScenario:d_subquest_1432_e_4,False,,L_10,L_10,1.0,,,,1,idle,,,
d_subquest_1432_e_5,d_subquest_1432_e,Monologue,grave,Locale_SubScenario:d_subquest_1432_e_5,False,,L_10,L_10,1.0,,,,1,idle,,,
d_subquest_1432_e_6,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_6,False,,L_10,L_10,1.0,,,,1,idle,,,
d_subquest_1432_e_7,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_7,True,,L_10,L_10,1.0,,grave,,1,idle,,,
d_subquest_1432_e_8,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_8,True,,L_10,L_10,1.0,,grave,,1,idle,,,
d_subquest_1432_e_9,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_9,True,,L_10,L_10,1.0,,grave,,1,idle,,,
d_subquest_1432_e_10,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_10,True,,L_10,12,2.0,,cinderella,,1,idle,cinderella,13,surprise
d_subquest_1432_e_11,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_11,True,,12,12,1.0,,grave,,1,idle,,13,surprise
d_subquest_1432_e_12,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_12,True,,12,12,1.0,,cinderella,,1,idle,,13,surprise
d_subquest_1432_e_13,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_13,True,,12,12,1.0,,cinderella,,1,idle,,13,delight
d_subquest_1432_e_14,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_14,True,,12,12,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_15,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_15,True,,12,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_16,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_16,True,,S_130,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_17,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_17,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_18,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_18,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
