id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,play_sound,set_camera_shake
d_ex_hotel_05_1,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_1,True,quency,1,idle,guilty,13,idle,sin,3,surprise,OutpostOut,30,30,1.0,bgm_story_orangepop,,,,,,,
d_ex_hotel_05_2,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_2,True,,1,idle,,13,idle,,3,surprise,,30,30,1.0,,,,,,,,
d_ex_hotel_05_3,d_ex_hotel_05,Speech,guilty,guilty,Locale_SuddenStory:d_ex_hotel_05_3,True,,1,idle,,13,idle,,3,idle,,130,130,1.0,,,,,,,,
d_ex_hotel_05_4,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_4,True,,1,surprise,,13,idle,,3,idle,,10,10,1.0,,,,,,,,
d_ex_hotel_05_5,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_5,True,,1,surprise,,13,idle,,3,idle,,10,10,1.0,,,,,,,,
d_ex_hotel_05_6,d_ex_hotel_05,Speech,guilty,guilty,Locale_SuddenStory:d_ex_hotel_05_6,True,,1,surprise,,13,idle,,3,idle,,10,113,1.0,,,,,,,,
d_ex_hotel_05_7,d_ex_hotel_05,Speech,guilty,guilty,Locale_SuddenStory:d_ex_hotel_05_7,True,,1,surprise,,13,idle,,3,idle,,113,113,1.0,,,,,,,,
d_ex_hotel_05_8,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_8,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,
d_ex_hotel_05_9,d_ex_hotel_05,Self,,,Locale_SuddenStory:d_ex_hotel_05_9,False,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,
d_ex_hotel_05_10,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_10,True,,1,idle,,13,idle,,3,idle,,113,1,1.0,,,,,,,,
d_ex_hotel_05_11,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_11,True,,1,idle,,13,idle,,3,idle,,1,1,1.0,,,,,,,,
d_ex_hotel_05_12,d_ex_hotel_05,Self,,,Locale_SuddenStory:d_ex_hotel_05_12,False,,1,idle,,13,idle,,3,idle,,1,1,1.0,,,,,,,,
d_ex_hotel_05_13,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_13,True,,1,idle,,13,idle,,3,surprise,,1,3,1.0,,,,,,,,
d_ex_hotel_05_14,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_14,True,,1,idle,,13,idle,,3,surprise,,3,30,1.0,,,,,,,,
d_ex_hotel_05_15,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_15,True,,1,idle,,13,idle,,3,surprise,,30,30,1.0,,,,,,,,
d_ex_hotel_05_16,d_ex_hotel_05,Speech,guilty,guilty,Locale_SuddenStory:d_ex_hotel_05_16,True,,1,idle,,13,surprise,,3,surprise,,30,30,1.0,,,,,,,,
d_ex_hotel_05_17,d_ex_hotel_05,Choice,,,Locale_SuddenStory:d_ex_hotel_05_17,False,,1,idle,,13,surprise,,3,surprise,,30,30,1.0,,d_ex_hotel_05_19,,,,,,
d_ex_hotel_05_18,d_ex_hotel_05,Choice,,,Locale_SuddenStory:d_ex_hotel_05_18,False,,1,idle,,13,surprise,,3,surprise,,30,30,1.0,,d_ex_hotel_05_20,,,,,,
d_ex_hotel_05_19,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_19,True,,1,idle,,13,surprise,,3,delight,,30,300,1.0,,d_ex_hotel_05_23,,,,,,
d_ex_hotel_05_20,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_20,True,,1,idle,,13,surprise,,3,surprise,,30,30,1.0,,,,,,,,
d_ex_hotel_05_21,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_21,True,,1,idle,,13,surprise,,3,surprise,,30,30,1.0,,,,,,,,
d_ex_hotel_05_22,d_ex_hotel_05,Speech,sin,sin,Locale_SuddenStory:d_ex_hotel_05_22,True,,1,idle,,13,surprise,,3,delight,,30,300,1.0,,d_ex_hotel_05_23,,,,,,
d_ex_hotel_05_23,d_ex_hotel_05,Self,,,Locale_SuddenStory:d_ex_hotel_05_23,False,,1,idle,,13,idle,,3,delight,,300,300,1.0,,,,,,,,
d_ex_hotel_05_24,d_ex_hotel_05,Speech,guilty,guilty,Locale_SuddenStory:d_ex_hotel_05_24,True,,1,idle,,13,idle,,3,delight,,1300,1300,1.0,,,,,,,,
d_ex_hotel_05_25,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_25,True,,1,idle,,13,idle,,3,idle,,1300,100,1.0,,,,,,,,
d_ex_hotel_05_26,d_ex_hotel_05,Speech,quency,quency,Locale_SuddenStory:d_ex_hotel_05_26,True,,1,delight,,13,idle,,3,idle,,100,10,1.0,,,,,,,,
