id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_subquest_1321_s_1,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_1,False,anis,1,void,neon,3,idle,rapi,13,idle,Destroyedcity,2,2,1.0,bgm_story_languor,,,,
d_subquest_1321_s_2,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_2,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_3,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_3,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_4,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_4,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_5,d_subquest_1321_s,Monologue,,,Locale_SubScenario:d_subquest_1321_s_5,False,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_6,d_subquest_1321_s,Monologue,,,Locale_SubScenario:d_subquest_1321_s_6,False,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_7,d_subquest_1321_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1321_s_7,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_8,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_8,True,,1,worry,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_9,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_9,False,,1,worry,,3,idle,,13,idle,,2,130,1.0,,,,,
d_subquest_1321_s_10,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_10,True,,1,worry,,3,idle,,13,idle,,130,130,1.0,,,,,
d_subquest_1321_s_11,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_11,True,,1,worry,,3,idle,,13,idle,,130,130,1.0,,,,,
d_subquest_1321_s_12,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_12,False,,1,void,,3,idle,,13,idle,,130,130,1.0,,,,,
d_subquest_1321_s_13,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_13,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,,,,
d_subquest_1321_s_14,d_subquest_1321_s,Narration,,,Locale_SubScenario:d_subquest_1321_s_14,False,,1,void,,3,surprise,,13,idle,none,black,black,1.0,,black,,,
d_subquest_1321_s_15,d_subquest_1321_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1321_s_15,True,,1,void,,3,surprise,,13,idle,DestroyedStreet,2,2,1.0,,,,,
d_subquest_1321_s_16,d_subquest_1321_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1321_s_16,True,,1,void,,3,worry,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_17,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_17,True,,1,worry,,3,worry,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_18,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_18,False,,1,worry,,3,worry,,13,idle,,2,2,1.0,,,,,
