id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
d_main_18_08_1,d_main_18_08,Speech,neon,neon,Locale_MainScenario:d_main_18_08_1,True,anis,7,void,neon,5,idle,rapi,3,idle,laplace,1,sad,maxwell,13,idle,drake,15,no,ArkRuinIndoor,S_50,4,2.0,none,,,
d_main_18_08_2,d_main_18_08,Self,neon,,Locale_MainScenario:d_main_18_08_2,False,,7,void,,5,idle,,3,idle,,1,sad,,13,idle,,15,no,,4,4,1.0,,,,
d_main_18_08_3,d_main_18_08,Speech,rapi,rapi,Locale_MainScenario:d_main_18_08_3,True,,7,void,,5,idle,,3,think,,1,sad,,13,idle,,15,no,,4,4,1.0,,,,
d_main_18_08_4,d_main_18_08,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_08_4,True,,7,void,,5,idle,,3,idle,,1,sad,,13,idle,,15,no,,4,12,2.0,,,,
d_main_18_08_5,d_main_18_08,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_08_5,True,,7,void,,5,idle,,3,idle,,1,sad,,13,idle,,15,no,,12,12,1.0,,,,
d_main_18_08_6,d_main_18_08,Speech,laplace,laplace,Locale_MainScenario:d_main_18_08_6,True,,7,void,,5,idle,,3,idle,,1,sad,,13,idle,,15,no,,12,S_10,1.0,,,,
d_main_18_08_7,d_main_18_08,Speech,laplace,laplace,Locale_MainScenario:d_main_18_08_7,True,,7,void,,5,idle,,3,idle,,1,sad,,13,idle,,15,no,,S_10,S_10,1.0,,,,
d_main_18_08_8,d_main_18_08,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_08_8,False,,7,void,,5,idle,,3,idle,,1,sad,,13,sad,,15,no,,S_10,130,1.0,,,,
d_main_18_08_9,d_main_18_08,Speech,laplace,laplace,Locale_MainScenario:d_main_18_08_9,True,,7,void,,5,idle,,3,idle,,1,sad,,13,sad,,15,no,,S_10,S_10,1.0,,,,
d_main_18_08_10,d_main_18_08,Speech,laplace,laplace,Locale_MainScenario:d_main_18_08_10,True,,7,void,,5,idle,,3,idle,,1,sad,,13,sad,,15,no,,S_10,S_10,1.0,,,,
d_main_18_08_11,d_main_18_08,Monologue,laplace,,Locale_MainScenario:d_main_18_08_11,False,,7,void,,5,idle,,3,idle,,1,sad,,13,sad,,15,no,,S_10,130,1.0,,laplace,,
d_main_18_08_12,d_main_18_08,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_08_12,True,,7,void,,5,idle,,3,idle,,,,,13,sad,,15,no,,130,130,1.0,,,,
d_main_18_08_13,d_main_18_08,Monologue,maxwell,,Locale_MainScenario:d_main_18_08_13,False,,7,void,,5,idle,,3,idle,,,,,13,sad,,15,no,,130,150,1.0,,,maxwell,
d_main_18_08_14,d_main_18_08,Speech,drake,drake,Locale_MainScenario:d_main_18_08_14,True,,7,void,,5,idle,,3,idle,,,,,,,,15,no,,150,150,1.0,,,,
d_main_18_08_15,d_main_18_08,Monologue,drake,,Locale_MainScenario:d_main_18_08_15,False,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,150,170,2.0,,,,
d_main_18_08_16,d_main_18_08,Speech,drake,drake,Locale_MainScenario:d_main_18_08_16,True,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,170,170,1.0,,,,
d_main_18_08_17,d_main_18_08,Self,drake,,Locale_MainScenario:d_main_18_08_17,False,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,170,170,1.0,,,,
d_main_18_08_18,d_main_18_08,Speech,drake,drake,Locale_MainScenario:d_main_18_08_18,True,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,170,170,1.0,,,,
d_main_18_08_19,d_main_18_08,Self,drake,,Locale_MainScenario:d_main_18_08_19,False,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,170,170,1.0,,,,
d_main_18_08_20,d_main_18_08,Monologue,drake,,Locale_MainScenario:d_main_18_08_20,False,,7,void,,5,idle,,3,idle,,,,,,,,17,no,,170,30,2.0,,,,drake
d_main_18_08_21,d_main_18_08,Self,,,Locale_MainScenario:d_main_18_08_21,False,,7,void,,5,idle,,3,idle,,,,,,,,,,,30,30,1.0,,,,
d_main_18_08_22,d_main_18_08,Self,,,Locale_MainScenario:d_main_18_08_22,False,,7,void,,5,idle,,3,idle,,,,,,,,,,,30,30,1.0,,,,
d_main_18_08_23,d_main_18_08,Speech,rapi,rapi,Locale_MainScenario:d_main_18_08_23,True,,7,void,,5,idle,,3,idle,,,,,,,,,,,30,30,1.0,,,,
