id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_05_1,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_1,False,Police,black,black,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,,,poli,1,idle,miranda,3,idle,,,
d_ex_police_05_2,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_2,True,,31,31,1.0,,,miranda,miranda,,,,,1,idle,,3,idle,,,
d_ex_police_05_3,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_3,True,,31,31,1.0,,,poli,poli,,,,,1,idle,,3,idle,,,
d_ex_police_05_4,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_4,False,,31,31,1.0,,,,,,,,,1,idle,,3,idle,,,
d_ex_police_05_5,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_5,True,,31,31,1.0,,,poli,poli,,,,,1,idle,,3,idle,,,
d_ex_police_05_6,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_6,True,,31,31,1.0,,,miranda,miranda,,,,,1,idle,,3,idle,,,
d_ex_police_05_7,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_7,False,,31,31,1.0,,,,,,,,,1,idle,,3,idle,,,
d_ex_police_05_8,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_8,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,angry,,3,think,,,
d_ex_police_05_9,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_9,True,,S_30,S_30,1.0,,,miranda,miranda,,,,,1,angry,,3,think,,,
d_ex_police_05_10,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_10,False,,31,31,1.0,,,,,,,,,1,angry,,3,think,,,
d_ex_police_05_11,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_11,True,,31,5,2.0,,,soda,soda,,,,,1,angry,,3,think,soda,5,idle
d_ex_police_05_12,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_12,False,,5,5,1.0,,,,,,,,,1,idle,,3,think,,5,idle
d_ex_police_05_13,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_13,True,,5,S_50,0.5,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_14,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_14,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_15,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_15,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_16,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_16,False,,XS_10,XS_10,1.0,,,,,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_17,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_17,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
