id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_main_40_03_1,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_1,False,nayuta_n,1,idle,TechIndoor,100,100,1.0,bgm_story_halo,,,,,,,,
d_main_40_03_2,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_2,True,,1,idle,,100,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_3,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_3,False,,1,idle,,10,10,1.0,,,,,,,,,
d_main_40_03_4,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_4,False,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_5,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_5,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_6,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_6,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_7,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_7,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_8,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_8,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_9,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_9,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_10,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_10,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_11,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_11,False,,1,idle,,10,10,1.0,,,,,,,,,
d_main_40_03_12,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_12,True,,1,idle_02,,10,100,0.7,,nayuta_n,,,,,,,
d_main_40_03_13,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_13,True,,1,idle_02,,100,100,1.0,,nayuta_n,,,,,,,
d_main_40_03_14,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_14,True,,1,idle_02,,100,100,1.0,,nayuta_n,,,,,,,
d_main_40_03_15,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_15,True,,1,idle_02,,100,100,1.0,,nayuta_n,,,,,,,
d_main_40_03_16,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_16,False,,1,idle_02,,100,100,1.0,,,,,,,,,
d_main_40_03_17,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_17,False,,1,idle_02,,100,100,1.0,,nayuta_n,,,,,,,
d_main_40_03_18,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_18,True,,1,idle,,100,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_19,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_19,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_20,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_20,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_21,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_21,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_22,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_22,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_23,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_23,False,,1,idle,,10,10,1.0,,,,,,,,,
d_main_40_03_24,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_24,True,,1,idle,,10,10,1.0,,nayuta_n,,,,,,,
d_main_40_03_25,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_25,True,,1,idle,WhaleyBack,10,10,1.0,,nayuta_n,maxwell_p,13,no,rapi_red,3,idle,black
d_main_40_03_26,d_main_40_03,Speech,maxwell_p,Locale_MainScenario:d_main_40_03_26,True,,1,idle,,10,113,1.0,,maxwell_p,,13,no,,3,idle,
d_main_40_03_27,d_main_40_03,Speech,rapi_red,Locale_MainScenario:d_main_40_03_27,True,,1,idle,,113,31,1.0,,rapi_red,,13,no,,3,idle,
d_main_40_03_28,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_28,True,,1,idle,,31,1,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_29,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_29,True,,1,idle,,1,1,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_30,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_30,True,,1,idle,,1,1,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_31,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_31,True,,1,idle,,1,10,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_32,d_main_40_03,Self,nayuta_n,Locale_MainScenario:d_main_40_03_32,False,,1,idle,,10,10,1.0,,,,13,no,,3,idle,
d_main_40_03_33,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_33,True,,1,delight,,10,10,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_34,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_34,True,,1,delight,,10,10,1.0,,nayuta_n,,13,no,,3,idle,
d_main_40_03_35,d_main_40_03,Speech,rapi_red,Locale_MainScenario:d_main_40_03_35,True,,1,delight,,10,31,1.0,,rapi_red,,13,no,,3,think,
d_main_40_03_36,d_main_40_03,Speech,maxwell_p,Locale_MainScenario:d_main_40_03_36,True,,1,delight,,31,113,1.0,,maxwell_p,,13,sad,,3,think,
d_main_40_03_37,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_37,True,,1,surprise,,113,113,1.0,,nayuta_n,,13,sad,,3,think,
d_main_40_03_38,d_main_40_03,Speech,nayuta_n,Locale_MainScenario:d_main_40_03_38,True,,1,surprise,,113,113,1.0,,nayuta_n,,13,sad,,3,think,
d_main_40_03_39,d_main_40_03,Speech,maxwell_p,Locale_MainScenario:d_main_40_03_39,True,,1,surprise,,L_130,L_1300,0.5,,maxwell_p,,13,idle,,3,think,
