id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_13af_05_1,d_main_13af_05,Speech,mary,mary,Locale_MainScenario:d_main_13af_05_1,True,CommanderRoom_n,XS_130,12,2.0,bgm_story_marrybad,,,,neon,5,idle,,anis,3,void,,rapi,1,idle,,mary,13,idle,
d_main_13af_05_2,d_main_13af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_05_2,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_3,d_main_13af_05,Speech,mary,mary,Locale_MainScenario:d_main_13af_05_3,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_4,d_main_13af_05,Speech,mary,mary,Locale_MainScenario:d_main_13af_05_4,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_5,d_main_13af_05,Speech,mary,mary,Locale_MainScenario:d_main_13af_05_5,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_6,d_main_13af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_05_6,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_7,d_main_13af_05,Speech,mary,mary,Locale_MainScenario:d_main_13af_05_7,True,,12,12,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,
d_main_13af_05_8,d_main_13af_05,Narration,mary,,Locale_MainScenario:d_main_13af_05_8,False,,12,2,2.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,idle,mary
d_main_13af_05_9,d_main_13af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_05_9,True,,2,2,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,,,
d_main_13af_05_10,d_main_13af_05,Speech,anis,anis,Locale_MainScenario:d_main_13af_05_10,True,,2,2,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,,,
d_main_13af_05_11,d_main_13af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_05_11,True,,2,2,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,,,
d_main_13af_05_12,d_main_13af_05,Speech,neon,neon,Locale_MainScenario:d_main_13af_05_12,True,,2,4,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,,,
d_main_13af_05_13,d_main_13af_05,Narration,neon,,Locale_MainScenario:d_main_13af_05_13,False,,4,1,2.0,,,,,,5,idle,neon,,3,void,anis,,1,idle,,,,,
