id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id
d_main_39_02_1,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_1,True,leviathan,1,think_02,ziz,13,idle,raptilion,3,idle,S_100,S_100,1.0,bgm_story_whosdumber,
d_main_39_02_2,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_2,True,,1,think_02,,13,idle,,3,idle,S_100,S_10,1.0,,
d_main_39_02_3,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_3,True,,1,think_02,,13,idle,,3,idle,S_10,raptogether_01,1.0,,
d_main_39_02_4,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_4,True,,1,think_02,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_5,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_5,True,,1,think_02,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_6,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_6,True,,1,think_02,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_7,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_7,True,,1,think_02,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_8,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_8,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_9,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_9,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_10,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_10,True,,1,no,,13,idle,,3,idle,raptogether_01,rap_30,1.0,,
d_main_39_02_11,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_11,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_12,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_12,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_13,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_13,True,,1,no,,13,idle,,3,idle,S_130,S_130,1.0,,
d_main_39_02_14,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_14,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_15,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_15,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_16,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_16,True,,1,surprise,,13,idle,,3,idle,rap_30,raptogether_01,1.0,,
d_main_39_02_17,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_17,True,,1,surprise,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_18,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_18,True,,1,surprise,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_19,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_19,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
