id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,set_camera_shake
d_main_24_08_s_1,d_main_24_08_s,Speech,eh,eh,Locale_MainScenario:d_main_24_08_s_1,True,crow,4,idle,eh,2,angry,viper,12,idle,NikkeCorridor,20,20,1.0,bgm_story_facetoface,,,,,,,,,,,,,,
d_main_24_08_s_2,d_main_24_08_s,Speech,eh,eh,Locale_MainScenario:d_main_24_08_s_2,True,,4,idle,,2,pain,,12,idle,,20,20,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_3,d_main_24_08_s,Speech,crow,crow,Locale_MainScenario:d_main_24_08_s_3,True,,4,smile,,2,pain,,12,idle,,20,3,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_4,d_main_24_08_s,Speech,crow,crow,Locale_MainScenario:d_main_24_08_s_4,True,,4,smile,,2,pain,,12,idle,,3,3,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_5,d_main_24_08_s,Speech,eh,eh,Locale_MainScenario:d_main_24_08_s_5,True,,4,smile,,2,sad,,12,idle,,3,3,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_6,d_main_24_08_s,Speech,crow,crow,Locale_MainScenario:d_main_24_08_s_6,True,,4,smile,,2,sad,,12,idle,,3,3,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_7,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_7,True,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_8,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_8,True,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_9,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_9,True,,4,idle,,2,idle,,12,delight,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_10,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_10,False,,4,idle,,2,idle,,12,shy,,120,12,2.0,,,,,,,,,,,,,,,
d_main_24_08_s_11,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_11,True,,4,idle,,2,idle,,12,shy,,12,12,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_12,d_main_24_08_s,Self,,Self,Locale_MainScenario:d_main_24_08_s_12,False,,4,idle,,2,idle,,12,shy,,12,12,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_13,d_main_24_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_s_13,False,,4,idle,,2,idle,,12,idle,,12,120,2.0,,,,,,,,,,,,,,,
d_main_24_08_s_14,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_14,True,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_15,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_15,True,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_16,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_16,True,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_17,d_main_24_08_s,Self,,Self,Locale_MainScenario:d_main_24_08_s_17,False,,4,idle,,2,idle,,12,idle,,120,120,1.0,,,,,,,,,,,,,,,
d_main_24_08_s_18,d_main_24_08_s,Speech,viper,viper,Locale_MainScenario:d_main_24_08_s_18,False,,4,idle,,2,idle,,12,good,,120,120,1.0,,,,,,,,,,,,,,,
