id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
d_main_21_09_s_1,d_main_21_09_s,Narration,Narration,Locale_MainScenario:d_main_21_09_s_1,False,anis,5,angry,rapi,3,angry,johan,1,idle,Launcher,15,5,1.0,bgm_intotheswarm_b,,,,,,,,,,,,,,
d_main_21_09_s_2,d_main_21_09_s,Speech,anis,Locale_MainScenario:d_main_21_09_s_2,True,,5,angry,,3,angry,,1,idle,,5,50,0.5,,anis,,,,,,,,,,,,,
d_main_21_09_s_3,d_main_21_09_s,Speech,anis,Locale_MainScenario:d_main_21_09_s_3,True,,5,angry,,3,angry,,1,idle,,50,500,0.5,,anis,,,,,,,,,,,,,
d_main_21_09_s_4,d_main_21_09_s,Speech,anis,Locale_MainScenario:d_main_21_09_s_4,True,,5,angry,,3,angry,,1,idle,,500,500,1.0,,anis,,,,,,,,,,,,,
d_main_21_09_s_5,d_main_21_09_s,Speech,rapi,Locale_MainScenario:d_main_21_09_s_5,True,,5,angry,,3,angry,,1,idle,,500,300,0.5,,rapi,,,,,,,,,,,,,
d_main_21_09_s_6,d_main_21_09_s,Self,Self,Locale_MainScenario:d_main_21_09_s_6,False,,5,angry,,3,angry,,1,idle,,300,300,1.0,,rapi,,,,,,,,,,,,,
d_main_21_09_s_7,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_7,False,,5,angry,,3,angry,,1,idle,,300,3,0.5,,rapi,,,,,,,,,,,,,
d_main_21_09_s_8,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_8,False,,5,angry,,3,angry,,1,idle,,3,1,0.5,,rapi,,,,,,,,,,,,,
d_main_21_09_s_9,d_main_21_09_s,Self,Self,Locale_MainScenario:d_main_21_09_s_9,False,,5,angry,,3,angry,,1,idle,,1,1,1.0,,rapi,,,,,,,,,,,,,
d_main_21_09_s_10,d_main_21_09_s,Speech,johan,Locale_MainScenario:d_main_21_09_s_10,False,,5,angry,,3,angry,,1,idle,,1,L_10,1.0,,johan,,,,,,,,,,,,,
d_main_21_09_s_11,d_main_21_09_s,Speech,johan,Locale_MainScenario:d_main_21_09_s_11,True,,5,angry,,3,angry,,1,idle,,L_10,L_10,1.0,,johan,,,,,,,,,,,,,
d_main_21_09_s_12,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_12,False,,5,angry,,3,angry,,1,idle,,L_10,L_10,2.0,,johan,,,,,,,,,,,,,
d_main_21_09_s_13,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_13,False,,5,angry,,3,angry,,1,idle,,L_10,L_10,1.0,,johan,,,,,,,,,,,,,
d_main_21_09_s_14,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_14,False,,5,angry,,3,angry,,1,idle,,L_10,L_10,1.0,,johan,,,,,,,,,,,,,
d_main_21_09_s_15,d_main_21_09_s,Monologue,Monologue,Locale_MainScenario:d_main_21_09_s_15,False,,5,angry,,3,angry,,1,idle,none,black,black,1.0,,johan,anis,rapi,johan,,,,,,,,,,
d_main_21_09_s_16,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_16,False,,,,,,,,,,EventScene_Chap_21_07_01,9,1,3.0,,noah,,,,black,,,,,,,,,
d_main_21_09_s_17,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_17,False,,,,,,,,,,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_21_09_s_18,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_18,False,,,,,,,,,,,1,1,1.0,,noah,,,,,,,,,,,,,
d_main_21_09_s_19,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_19,False,,,,,,,,,,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_21_09_s_20,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_20,False,,,,,,,,,,,1,1,1.0,,noah,,,,,,,,,,,,,
d_main_21_09_s_21,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_21,False,,,,,,,,,,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_21_09_s_22,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_22,False,,,,,,,,,,,1,1,1.0,,noah,,,,,,,,,,,,,
d_main_21_09_s_23,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_23,False,,,,,,,,,,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_21_09_s_24,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_24,False,,,,,,,,,,,1,1,1.0,,noah,,,,,,,,,,,,,
d_main_21_09_s_25,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_25,False,,,,,,,,,,,1,1,1.0,,neon,,,,,,,,,,,,,
d_main_21_09_s_26,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_26,False,,,,,,,,,,,1,1,1.0,,noah,,,,,,,,,,,,,
d_main_21_09_s_27,d_main_21_09_s,Narration,Narration,Locale_MainScenario:d_main_21_09_s_27,False,,,,,,,,,,Launcher,5,1315,1.0,,,,,,black,noah,13,idle,neon,15,idle,,,
d_main_21_09_s_28,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_28,True,,,,,,,,,,,1315,1315,1.0,,neon,,,,,,13,idle,,15,idle,,,
d_main_21_09_s_29,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_29,True,,,,,,,,,,,1315,1315,1.0,,noah,,,,,,13,idle,,15,idle,,,
d_main_21_09_s_30,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_30,True,,,,,,,,,,,1315,1315,1.0,,neon,,,,,,13,idle,,15,idle,,,
d_main_21_09_s_31,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_31,True,,,,,,,,,,,1315,XS_130,1.0,,noah,,,,,,13,surprise,,15,idle,,,
d_main_21_09_s_32,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_32,True,,,,,,,,,,,XS_130,S_150,1.0,,neon,,,,,,13,surprise,,15,idle,,,
d_main_21_09_s_33,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_33,False,,,,,,,,,,,S_150,1315,1.0,,noah,,,,,,13,pain,,15,idle,,,
d_main_21_09_s_34,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_34,True,,,,,,,,,,,1315,1315,1.0,,noah,,,,,,13,pain,,15,idle,,,
d_main_21_09_s_35,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_35,True,,,,,,,,,,,1315,1315,1.0,,neon,,,,,,13,pain,,15,idle,,,
d_main_21_09_s_36,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_36,True,,,,,,,,,,,1315,1315,1.0,,noah,,,,,,13,pain,,15,idle,,,
d_main_21_09_s_37,d_main_21_09_s,Speech,neon,Locale_MainScenario:d_main_21_09_s_37,True,,,,,,,,,,,1315,1315,1.0,,neon,,,,,,13,pain,,15,idle,,,
d_main_21_09_s_38,d_main_21_09_s,Speech,noah,Locale_MainScenario:d_main_21_09_s_38,True,,,,,,,,,,,1315,1315,1.0,,noah,,,,,,13,pain,,15,idle,,,
