id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,effects/0/stop_effect_id
d_main_23_09_s_1,d_main_23_09_s,Narration,Locale_MainScenario:d_main_23_09_s_1,False,EmptyShelter,black,black,1.0,bgm_emergency,,,,,,,,,,,,,,,,
d_main_23_09_s_2,d_main_23_09_s,Narration,Locale_MainScenario:d_main_23_09_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,
d_main_23_09_s_3,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_3,True,,8,8,1.0,,yuni,yuni,fx_Eventscene_camera_recording,rec,True,Vignetting,,,,,,,,,,
d_main_23_09_s_4,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_4,True,,8,8,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_5,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_5,True,,8,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_6,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_6,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_7,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_7,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_8,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_8,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_9,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_9,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_10,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_10,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_11,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_11,True,,S_80,S_80,1.0,,yuni,yuni,,,,Vignetting,,,,,,,,,,
