id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/1/hide_char_id
d_main_32_07_1,d_main_32_07,Narration,behemoth,Locale_MainScenario:d_main_32_07_1,False,behemoth,1,void,CrystalField_1,1,10,1.0,bgm_story_trauma,,,,,,
d_main_32_07_2,d_main_32_07,Narration,behemoth,Locale_MainScenario:d_main_32_07_2,False,,1,void,,10,10,1.0,,,,,,,
d_main_32_07_3,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_3,True,,1,void,,10,10,1.0,,behemoth,,,,,
d_main_32_07_4,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_4,True,,1,void,,10,10,1.0,,behemoth,,,,,
d_main_32_07_5,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_5,True,,1,void,,10,10,1.0,,behemoth,,,,,
d_main_32_07_6,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_6,True,,1,void,,10,10,1.0,,soundonly,soundonly,OP_rightup,idle,sfx_scn_connectsuccess,
d_main_32_07_7,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_7,True,,1,void,,10,100,1.0,,behemoth,,OP_rightup,idle,,
d_main_32_07_8,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_8,True,,1,void,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_9,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_9,True,,1,void,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_10,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_10,True,,1,void,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_11,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_11,True,,1,void,,100,100,1.0,,behemoth,,OP_rightup,idle,,
d_main_32_07_12,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_12,True,,1,void,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_13,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_13,True,,1,void,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_14,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_14,True,,1,think,,100,100,1.0,,behemoth,,OP_rightup,idle,,
d_main_32_07_15,d_main_32_07,Speech,soundonly,Locale_MainScenario:d_main_32_07_15,True,,1,think,,100,100,1.0,,soundonly,,OP_rightup,idle,,
d_main_32_07_16,d_main_32_07,Speech,behemoth,Locale_MainScenario:d_main_32_07_16,True,,1,think,,100,10,1.0,,behemoth,,OP_rightup,idle,,
