id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_modernbar_08_01,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_01,False,Bar,5,5,1.0,sfx_scn_toyshopbell,bgm_story_tuffguys,,,,,,,,,,
d_ex_modernbar_08_02,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_02,False,,5,5,1.0,,,,,,,,,,,,
d_ex_modernbar_08_03,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_03,True,,5,5,1.0,,,rei,Low_2,,,,,,,,
d_ex_modernbar_08_04,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_04,False,,5,5,1.0,,,,,rei,12,cry,,,,,
d_ex_modernbar_08_05,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_05,True,,5,12,1.0,,,rei,,,12,cry,rei,,,,
d_ex_modernbar_08_06,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_06,False,,12,12,1.0,,,,,,12,cry,rei,,,,
d_ex_modernbar_08_07,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_07,True,,12,XS_120,1.0,,,rei,,,12,cry,rei,,,,
d_ex_modernbar_08_08,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_08,True,,XS_120,XS_120,1.0,,,rei,,,12,cry,rei,,,,
d_ex_modernbar_08_09,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_09,False,,XS_120,XS_120,1.0,,,,,,12,cry,rei,,,,
d_ex_modernbar_08_10,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_10,True,,XS_120,XS_120,1.0,,,rei,,,12,cry,rei,,,,
d_ex_modernbar_08_11,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_11,True,,XS_120,XS_1200,1.0,,,rei,,,12,cry,rei,,,,
d_ex_modernbar_08_12,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_12,False,,XS_1200,XS_1200,1.0,,,,,,12,cry,rei,,,,
d_ex_modernbar_08_13,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_13,True,,XS_1200,XS_120,1.0,,,rei,,,12,delight,rei,,,,
d_ex_modernbar_08_14,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_14,False,,black,black,1.0,,,,,,12,idle,rei,,,,
d_ex_modernbar_08_15,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_15,True,,2,S_20,1.0,,,soda_b,,,12,idle,soda_b,soda_b,2,idle,
d_ex_modernbar_08_16,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_16,False,,S_20,S_20,1.0,,,,,,12,idle,soda_b,,2,idle,
d_ex_modernbar_08_17,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_17,True,,S_20,S_20,1.0,,,soda_b,,,12,idle,soda_b,,2,delight,
d_ex_modernbar_08_18,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_18,False,,S_20,S_20,1.0,,,,,,12,idle,soda_b,,2,delight,
d_ex_modernbar_08_19,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_19,True,,S_20,S_20,1.0,,,soda_b,,,12,idle,soda_b,,2,delight,
d_ex_modernbar_08_20,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_20,True,,S_20,XS_120,1.0,,,rei,,,12,idle,rei,,2,delight,
d_ex_modernbar_08_21,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_21,True,,XS_120,XS_120,1.0,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_22,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_22,True,,XS_120,XS_120,1.0,,,rei,,,12,idle,rei,,2,delight,
d_ex_modernbar_08_23,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_23,True,,XS_120,1,1.0,,,soda_b,,,12,idle,soda_b,,2,delight,
d_ex_modernbar_08_24,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_24,True,,1,1,1.0,,,rei,,,12,idle,rei,,2,delight,
d_ex_modernbar_08_25,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_25,True,,1,1,1.0,,,soda_b,,,12,idle,soda_b,,2,delight,
d_ex_modernbar_08_26,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_26,True,,1,XS_120,1.0,,,rei,,,12,idle,rei,,2,delight,
d_ex_modernbar_08_27,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_27,True,,XS_120,XS_1200,1.0,,,rei,,,12,delight,rei,,2,delight,
d_ex_modernbar_08_28,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_28,True,,XS_1200,XS_120,0.5,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_29,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_29,True,,XS_120,XS_120,1.0,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_30,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_30,True,,XS_120,XS_120,1.0,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_31,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_31,True,,XS_120,S_20,1.0,,,soda_b,,,12,angry,soda_b,,2,delight,
d_ex_modernbar_08_32,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_32,False,,S_20,S_20,1.0,,,,,,12,angry,soda_b,,2,delight,
d_ex_modernbar_08_33,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_33,True,,S_20,S_200,1.0,,,soda_b,,,12,angry,soda_b,,2,delight,
d_ex_modernbar_08_34,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_34,True,,S_200,S_200,1.0,,,soda_b,,,12,angry,soda_b,,2,idle,
d_ex_modernbar_08_35,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_35,False,,black,black,1.0,,,,,,12,angry,soda_b,,2,idle,
d_ex_modernbar_08_36,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_36,False,,black,black,1.0,sfx_scn_putdown,,,,,12,angry,soda_b,,2,idle,
