id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_30_03_s_1,d_main_30_03_s,Narration,Locale_MainScenario:d_main_30_03_s_1,False,CrystalCity,3,12,2.0,bgm_chapter30_field_whitecity,,,,fragile,1,think,liveryn,13,worry,,,
d_main_30_03_s_2,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_2,True,,12,12,1.0,,fragile,fragile,,,1,think,,13,worry,,,
d_main_30_03_s_3,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_3,True,,12,12,1.0,,liveryn,liveryn,,,1,think,,13,worry,,,
d_main_30_03_s_4,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_4,True,,12,12,1.0,,fragile,fragile,,,1,think,,13,worry,,,
d_main_30_03_s_5,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_5,True,,12,12,1.0,,liveryn,liveryn,,,1,think,,13,worry,,,
d_main_30_03_s_6,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_6,True,,12,12,1.0,,liveryn,liveryn,,,1,think,,13,worry,,,
d_main_30_03_s_7,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_7,True,,12,12,1.0,,fragile,fragile,,,1,think,,13,worry,,,
d_main_30_03_s_8,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_8,True,,12,12,1.0,,liveryn,liveryn,,,1,think,,13,surprise,,,
d_main_30_03_s_9,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_9,True,,12,12,1.0,,fragile,fragile,,,1,think,,13,surprise,,,
d_main_30_03_s_10,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_10,True,,12,130,1.0,,liveryn,liveryn,,,1,think,,13,sad,,,
d_main_30_03_s_11,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_11,True,,black,black,1.0,,fragile,fragile,,,1,think,,13,sad,,,
d_main_30_03_s_12,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_12,True,,130,S_10,1.0,,fragile,fragile,,,1,think,,13,surprise,,,
d_main_30_03_s_13,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_13,True,,S_10,S_10,1.0,,fragile,fragile,,,1,think,,13,surprise,,,
d_main_30_03_s_14,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_14,True,,S_10,S_10,1.0,,fragile,fragile,,,1,think,,13,surprise,,,
d_main_30_03_s_15,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_15,True,,130,130,1.0,,liveryn,liveryn,,,1,think,,13,surprise,,,
d_main_30_03_s_16,d_main_30_03_s,Speech,Locale_MainScenario:d_main_30_03_s_16,True,,S_10,S_10,1.0,,fragile,fragile,,,1,think,,13,surprise,,,
