id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound
d_subquest_1181_s_1,d_subquest_1181_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1181_s_1,True,anis,3,idle,neon,1,idle,rapi,13,idle,TrainingField,13,13,1.0,bgm_greyhaze,,
d_subquest_1181_s_2,d_subquest_1181_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1181_s_2,True,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,
d_subquest_1181_s_3,d_subquest_1181_s,Self,rapi,Self,Locale_SubScenario:d_subquest_1181_s_3,False,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,
d_subquest_1181_s_4,d_subquest_1181_s,Monologue,,,Locale_SubScenario:d_subquest_1181_s_4,False,,3,idle,,1,idle,,13,idle,,13,7,1.0,,,
d_subquest_1181_s_5,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_5,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_6,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_6,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_7,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_7,True,,3,delight,,1,idle,,13,idle,,7,3,2.0,,,
d_subquest_1181_s_8,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_8,True,,3,delight,,1,idle,,13,idle,,3,30,2.0,,,
d_subquest_1181_s_9,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_9,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1181_s_10,d_subquest_1181_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1181_s_10,True,,3,void,,1,angry,,13,idle,,30,S_10,0.5,,,
d_subquest_1181_s_11,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_11,True,,3,void,,1,angry,,13,idle,,S_10,S_10,1.0,,,
d_subquest_1181_s_12,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_12,True,,3,void,,1,angry,,13,idle,,S_10,2,1.0,,,
d_subquest_1181_s_13,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_13,True,,3,void,,1,angry,,13,idle,,2,2,1.0,,,
d_subquest_1181_s_14,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_14,True,,3,worry,,1,angry,,13,idle,,2,2,1.0,,,
d_subquest_1181_s_15,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_15,True,,3,worry,,1,angry,,13,idle,,2,2,1.0,,,
d_subquest_1181_s_16,d_subquest_1181_s,Self,,Self,Locale_SubScenario:d_subquest_1181_s_16,False,,3,worry,,1,angry,,13,idle,,2,7,2.0,,,
d_subquest_1181_s_17,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_17,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_18,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_18,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_19,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_19,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_20,d_subquest_1181_s,Self,,Self,Locale_SubScenario:d_subquest_1181_s_20,False,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_21,d_subquest_1181_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1181_s_21,True,,3,idle,,1,idle,,13,idle,,1,1,2.0,,,
d_subquest_1181_s_22,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_22,True,,3,idle,,1,idle,,13,idle,,1,1,1.0,,,
d_subquest_1181_s_23,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_23,True,,3,idle,,1,idle,,13,idle,,1,1,1.0,,,
d_subquest_1181_s_24,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_24,True,,3,idle,,1,idle,,13,idle,,1,1,1.0,,,
d_subquest_1181_s_25,d_subquest_1181_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1181_s_25,True,,3,idle,,1,idle,,13,idle,,1,S_10,1.0,,,
d_subquest_1181_s_26,d_subquest_1181_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1181_s_26,True,,3,idle,,1,worry,,13,idle,,S_10,S_10,1.0,,,
d_subquest_1181_s_27,d_subquest_1181_s,Self,,Self,Locale_SubScenario:d_subquest_1181_s_27,False,,3,idle,,1,worry,,13,idle,,S_10,S_10,1.0,,,
d_subquest_1181_s_28,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_28,True,,3,idle,,1,idle,,13,idle,,S_10,7,0.5,,Low_2,
d_subquest_1181_s_29,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_29,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_30,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_30,True,,3,idle,,1,idle,,13,idle,,7,7,1.0,,,
d_subquest_1181_s_31,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_31,True,,3,worry,,1,idle,,13,idle,,3,3,1.0,,,
