id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,jump_target
d_main_05_04_e_1,d_main_05_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_04_e_1,True,neon,3,idle,anis,1,angry,rapi,13,angry,IceLand_02,130,1300,0.5,bgm_enemyclose,,,,,,,,,
d_main_05_04_e_2,d_main_05_04_e,Speech,anis,anis,Locale_MainScenario:d_main_05_04_e_2,True,,3,idle,,1,angry,,13,angry,,10,100,0.5,,,,,,,,,,
d_main_05_04_e_3,d_main_05_04_e,Narration,anis,Narration,Locale_MainScenario:d_main_05_04_e_3,True,,3,idle,,1,angry,,13,angry,none,1,1,1.0,,neon,anis,rapi,sfx_scn_explosions,,,,,
d_main_05_04_e_4,d_main_05_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_04_e_4,True,neon,3,idle,anis,1,angry,rapi,13,angry,IceLand_02,130,130,1.0,,,,,,,,,,
d_main_05_04_e_5,d_main_05_04_e,Speech,anis,anis,Locale_MainScenario:d_main_05_04_e_5,True,,3,idle,,1,angry,,13,angry,,100,100,1.0,,,,,,,,,,
d_main_05_04_e_6,d_main_05_04_e,Speech,neon,neon,Locale_MainScenario:d_main_05_04_e_6,True,,3,idle,,1,angry,,13,angry,,3,S_30,3.0,,,,,,,,,,
d_main_05_04_e_7,d_main_05_04_e,Speech,neon,neon,Locale_MainScenario:d_main_05_04_e_7,True,,3,idle,,1,angry,,13,angry,,S_30,S_300,1.0,,,,,,,,,,
d_main_05_04_e_8,d_main_05_04_e,Narration,neon,Narration,Locale_MainScenario:d_main_05_04_e_8,True,,3,idle,,1,angry,,13,angry,,S_300,19,3.0,,,,,sfx_scn_earthquake,Low_2_Loop,,,,
d_main_05_04_e_9,d_main_05_04_e,Monologue,neon,,Locale_MainScenario:d_main_05_04_e_9,True,,3,idle,,1,angry,,13,angry,,19,19,1.0,,,,,,Low_2_Loop,,,,
d_main_05_04_e_10,d_main_05_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_04_e_10,True,,3,idle,,1,angry,,13,angry,,19,13,1.0,bgm_emergency,,,,,Low_2_Loop,,,,
d_main_05_04_e_11,d_main_05_04_e,Speech,anis,anis,Locale_MainScenario:d_main_05_04_e_11,True,,3,idle,,1,angry,,13,angry,,13,1,0.5,,,,,,Low_2_Loop,,,,
d_main_05_04_e_12,d_main_05_04_e,Speech,neon,neon,Locale_MainScenario:d_main_05_04_e_12,True,,3,idle,,1,angry,,13,angry,,1,3,0.5,,,,,,Low_2_Loop,,,,
d_main_05_04_e_13,d_main_05_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_04_e_13,True,,3,idle,,1,angry,,13,angry,,3,13,0.5,,,,,,Low_2_Loop,,,,
d_main_05_04_e_14,d_main_05_04_e,Narration,rapi,Narration,Locale_MainScenario:d_main_05_04_e_14,True,,3,idle,,1,angry,,13,angry,none,black,black,1.0,,neon,anis,rapi,sfx_scn_earthquake,Low_2_Loop,,,,
d_main_05_04_e_15,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_15,True,,,,,,,,,,,black,black,1.0,,,,,,none,,,,
d_main_05_04_e_16,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_16,True,,,,,,,,,,,black,black,1.0,,,,,,,,,,
d_main_05_04_e_17,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_17,True,,,,,,,,,,,black,black,1.0,,,,,,,,,,
d_main_05_04_e_18,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_18,True,,,,,,,,,,,black,black,1.0,,,,,,,,,,
d_main_05_04_e_19,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_19,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,
d_main_05_04_e_20,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_20,True,,,,,,,,,,,black,black,1.0,,,,,,,,,,
d_main_05_04_e_21,d_main_05_04_e,Monologue,rapi,,Locale_MainScenario:d_main_05_04_e_21,False,,,,,,,,,,,black,black,1.0,none,,,,,,,,,
d_main_05_04_e_22,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_22,True,girl,1,idle,,,,,,,Hospital,1,1,1.0,bgm_story_inwonderland,,,,,,Grey,Blur_Low,black,
d_main_05_04_e_23,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_23,True,,1,delight,,,,,,,,1,1,1.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_24,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_24,True,,1,delight,,,,,,,,1,1,1.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_25,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_25,True,,1,think,,,,,,,,1,1,1.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_26,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_26,True,,1,think,,,,,,,,1,1,1.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_27,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_27,True,,1,idle,,,,,,,,1,1,1.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_28,d_main_05_04_e,Speech,girl,girl,Locale_MainScenario:d_main_05_04_e_28,True,,1,delight,,,,,,,,1,10,3.0,,,,,,,Grey,Blur_Low,,
d_main_05_04_e_29,d_main_05_04_e,Speech,alice,alice,Locale_MainScenario:d_main_05_04_e_29,True,,1,idle,alice,7,idle,ludmilla,9,idle,IceLand_02,97,97,1.0,,girl,,,,,,Blur_High,black,
d_main_05_04_e_30,d_main_05_04_e,Speech,alice,alice,Locale_MainScenario:d_main_05_04_e_30,True,,,,,7,idle,,9,idle,,97,97,1.0,,,,,,,,Blur_High,,
d_main_05_04_e_31,d_main_05_04_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_04_e_31,False,,,,,7,idle,,9,idle,,97,97,1.0,,,,,,,,Blur_High,,
d_main_05_04_e_32,d_main_05_04_e,Speech,alice,alice,Locale_MainScenario:d_main_05_04_e_32,True,,,,,7,idle,,9,idle,,97,7,1.0,,,,,,,,Blur_High,,
d_main_05_04_e_33,d_main_05_04_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_04_e_33,True,,,,,7,idle,,9,idle,,7,9,1.0,,,,,,,,Blur_Middle,,
