id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
d_ex_maidcafe_03_1,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_1,False,soda,1,idle,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,,,,
d_ex_maidcafe_03_2,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_2,True,,1,idle,,1,1,1.0,,,soda,soda,,,,,
d_ex_maidcafe_03_3,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_3,True,,1,idle,,1,113,2.0,,,folkwang,folkwang,folkwang,13,idle,,
d_ex_maidcafe_03_4,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_4,False,,1,idle,,113,113,1.0,,,,,,13,idle,,
d_ex_maidcafe_03_5,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_5,True,,1,idle,,113,13,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_6,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_6,True,,1,idle,,13,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_7,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_7,False,,1,idle,,130,130,1.0,,,,,,13,idle,d_ex_maidcafe_03_9,
d_ex_maidcafe_03_8,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_8,False,,1,idle,,130,130,1.0,,,,,,13,idle,d_ex_maidcafe_03_10,
d_ex_maidcafe_03_9,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_9,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,idle,d_ex_maidcafe_03_10,
d_ex_maidcafe_03_10,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_10,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_11,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_11,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_12,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_12,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_13,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_13,True,,1,sad,,130,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_14,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_14,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_15,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_15,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_16,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_16,False,,1,sad,,113,113,1.0,,,,,,13,idle,d_ex_maidcafe_03_18,
d_ex_maidcafe_03_17,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_17,False,,1,sad,,113,113,1.0,,,,,,13,idle,d_ex_maidcafe_03_20,
d_ex_maidcafe_03_18,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_18,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_19,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_19,True,,1,sad,,113,113,1.0,,,soda,soda,,13,idle,d_ex_maidcafe_03_20,
d_ex_maidcafe_03_20,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_20,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_21,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_21,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_22,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_22,True,,1,sad,,113,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_23,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_23,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_24,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_24,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_25,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_25,True,,1,think,,113,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_26,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_26,False,,1,think,,black,black,1.0,,,,,,13,idle,,
d_ex_maidcafe_03_27,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_27,True,,1,think,,S_100,S_100,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_28,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_28,False,,1,think,,S_100,S_100,1.0,sfx_scn_bookdrop,none,,,,13,idle,,
d_ex_maidcafe_03_29,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_29,True,,1,sad,,S_100,S_10,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_30,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_30,False,,1,shy,,S_10,S_10,1.0,sfx_scn_heavytrip,,,,,13,idle,,Low_2
d_ex_maidcafe_03_31,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_31,False,,1,shy,,S_10,S_10,1.0,sfx_scn_waterslide,,,,,13,surprise,,
d_ex_maidcafe_03_32,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_32,False,,1,shy,,S_10,S_10,1.0,,,,,,13,surprise,,
d_ex_maidcafe_03_33,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_33,False,,1,shy,,S_10,113,1.0,,,,,,13,surprise,,
d_ex_maidcafe_03_34,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_34,False,,1,shy,,113,113,1.0,,,,,,13,surprise,d_ex_maidcafe_03_36,
d_ex_maidcafe_03_35,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_35,False,,1,shy,,113,113,1.0,,,,,,13,surprise,d_ex_maidcafe_03_38,
d_ex_maidcafe_03_36,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_36,True,,1,sad,,113,113,1.0,,,soda,soda,,13,surprise,,
d_ex_maidcafe_03_37,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_37,True,,1,sad,,113,113,1.0,,,soda,soda,,13,surprise,d_ex_maidcafe_03_38,
d_ex_maidcafe_03_38,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_38,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,surprise,,
d_ex_maidcafe_03_39,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_39,True,,1,sad,,113,113,1.0,,,soda,soda,,13,surprise,,
d_ex_maidcafe_03_40,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_40,True,,1,sad,,113,113,1.0,,bgm_story_herecomestrouble,folkwang,folkwang,,13,pain,,
d_ex_maidcafe_03_41,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_41,False,,1,sad,,113,113,1.0,,,,,,13,pain,,
d_ex_maidcafe_03_42,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_42,True,,1,sad,,113,130,1.0,,,folkwang,folkwang,,13,pain,,
d_ex_maidcafe_03_43,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_43,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,pain,,
d_ex_maidcafe_03_44,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_44,True,,1,sad,,130,113,1.0,,,soda,soda,,13,pain,,
d_ex_maidcafe_03_45,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_45,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_46,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_46,False,,1,sad,,113,113,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_47,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_47,True,,1,sad,,113,113,1.0,,,soda,soda,,13,delight,,
d_ex_maidcafe_03_48,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_48,True,,1,sad,,113,13,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_49,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_49,True,,1,sad,,13,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_50,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_50,True,,1,sad,,130,130,1.0,,none,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_51,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_51,True,,1,idle,,S_10,S_10,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_52,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_52,True,,1,idle,,S_10,S_10,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_53,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_53,True,,1,think,,S_10,S_100,1.0,,,soda,soda,,13,delight,,
d_ex_maidcafe_03_54,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_54,False,,1,think,,black,black,1.0,,,,,,13,idle,,
d_ex_maidcafe_03_55,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_55,True,,1,think,,S_100,S_100,1.0,,bgm_story_languor,soda,soda,,13,idle,,
d_ex_maidcafe_03_56,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_56,True,,1,think,,S_100,S_100,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_57,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_57,False,,1,think,,S_100,S_100,1.0,,,,,,13,idle,d_ex_maidcafe_03_59,
d_ex_maidcafe_03_58,d_ex_maidcafe_03,Choice,Locale_SuddenStory:d_ex_maidcafe_03_58,False,,1,think,,S_100,S_100,1.0,,,,,,13,idle,d_ex_maidcafe_03_59,
d_ex_maidcafe_03_59,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_59,True,,1,idle,,S_100,S_10,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_60,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_60,True,,1,idle,,S_10,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_61,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_61,False,,1,idle,,130,130,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_62,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_62,False,,1,idle,,130,150,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_63,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_63,False,,1,idle,,150,150,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_64,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_64,False,,1,idle,,150,150,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_65,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_65,True,,1,idle,,150,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_66,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_66,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_67,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_67,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_68,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_68,False,,1,idle,,130,130,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_69,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_69,True,,1,idle,,130,130,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_70,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_70,True,,1,think,,130,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_71,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_71,True,,5,think,,113,113,1.0,,,folkwang,folkwang,,13,pain,,
d_ex_maidcafe_03_72,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_72,False,,5,think,,113,113,1.0,,,,,,13,pain,,
d_ex_maidcafe_03_73,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_73,True,,1,think,,113,113,1.0,,,soda,soda,,13,pain,,
d_ex_maidcafe_03_74,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_74,False,,1,think,,113,113,1.0,sfx_scn_bookdrop,,,,,13,surprise,,
d_ex_maidcafe_03_75,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_75,False,,1,sad,,113,113,1.0,sfx_scn_heavytrip,,,,,13,surprise,,Low_2
d_ex_maidcafe_03_76,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_76,True,,1,sad,,113,113,1.0,,,soda,soda,,13,surprise,,
d_ex_maidcafe_03_77,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_77,True,,1,sad,,113,113,1.0,,,folkwang,folkwang,,13,delight,,
