id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_10_03_e_1,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_1,True,Desert_01,16,16,1.0,bgm_areah_a,vesti,16,idle,,anis,1,angry,,emma,13,idle,,,,
d_main_10_03_e_2,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_2,True,,16,12,1.0,,,16,idle,,,1,angry,,,13,idle,,,,
d_main_10_03_e_3,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_3,True,,12,12,1.0,,,16,idle,,,1,angry,,,13,idle,,,,
d_main_10_03_e_4,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_4,True,,12,12,1.0,,,16,idle,,,1,angry,,,13,idle,,,,
d_main_10_03_e_5,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_5,True,,12,12,1.0,,,16,idle,,,1,angry,,,13,idle,,,,
d_main_10_03_e_6,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_6,True,,12,12,1.0,,,16,idle,,,1,worry,,,13,idle,,,,
d_main_10_03_e_7,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_7,True,,16,XS_160,1.3,,,16,shy,,,1,worry,,,13,idle,,,,
d_main_10_03_e_8,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_8,True,,10,10,1.0,,,16,shy,,,1,void,,,13,idle,emma,,,
d_main_10_03_e_9,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_9,False,,XS_160,XS_160,1.0,,,16,shy,,,1,void,,,,,,,,
d_main_10_03_e_10,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_10,True,,XS_160,15,1.0,,,16,idle,,,14,idle,,,,,,,,
