id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_14_06_1,d_main_14_06,Speech,rapi,rapi,Locale_MainScenario:d_main_14_06_1,True,ArkRuinIndoor,5,5,1.0,bgm_inark,,,rapi,5,idle,neon,15,idle,anis,1,idle,,,
d_main_14_06_2,d_main_14_06,Speech,neon,neon,Locale_MainScenario:d_main_14_06_2,True,,15,15,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_3,d_main_14_06,Speech,rapi,rapi,Locale_MainScenario:d_main_14_06_3,True,,50,50,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_4,d_main_14_06,Speech,neon,neon,Locale_MainScenario:d_main_14_06_4,True,,S_150,S_150,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_5,d_main_14_06,Speech,anis,anis,Locale_MainScenario:d_main_14_06_5,True,,10,10,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_6,d_main_14_06,Speech,neon,neon,Locale_MainScenario:d_main_14_06_6,True,,S_150,S_150,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_7,d_main_14_06,Speech,anis,anis,Locale_MainScenario:d_main_14_06_7,True,,10,10,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_8,d_main_14_06,Speech,rapi,rapi,Locale_MainScenario:d_main_14_06_8,True,,50,50,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_9,d_main_14_06,Speech,neon,neon,Locale_MainScenario:d_main_14_06_9,True,,S_150,S_150,1.0,,,,,5,idle,,15,idle,,1,idle,,,
d_main_14_06_10,d_main_14_06,Narration,,,Locale_MainScenario:d_main_14_06_10,False,,S_150,S_150,1.0,,sfx_scn_electricshock,Low_2,,5,idle,,15,no,,1,idle,,,
d_main_14_06_11,d_main_14_06,Speech,neon,neon,Locale_MainScenario:d_main_14_06_11,True,,S_150,S_150,1.0,,,,,5,idle,,15,no,,1,idle,,,
d_main_14_06_12,d_main_14_06,Narration,,,Locale_MainScenario:d_main_14_06_12,False,,S_150,XS_150,1.0,,,,,5,idle,,15,no,,1,idle,,,
d_main_14_06_13,d_main_14_06,Monologue,,,Locale_MainScenario:d_main_14_06_13,False,,XS_150,XS_150,1.0,,,,,5,idle,,15,no,,1,idle,,,
