id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound,set_camera_shake
d_main_35_08_s_1,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_1,True,rapi_red,5,idle,maxwell,3,angry,drake,1,idle,laplace,13,idle,cinderella,15,angry,grave_p,17,idle,EggArea,4,4,1.0,bgm_mystery,,,,,,,,
d_main_35_08_s_2,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_2,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_3,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_3,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_4,d_main_35_08_s,Self,maxwell,,Locale_MainScenario:d_main_35_08_s_4,False,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_5,d_main_35_08_s,Speech,laplace,laplace,Locale_MainScenario:d_main_35_08_s_5,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,12,1.0,,,,,,,,,
d_main_35_08_s_6,d_main_35_08_s,Speech,drake,drake,Locale_MainScenario:d_main_35_08_s_6,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,12,12,1.0,,,,,,,,,
d_main_35_08_s_7,d_main_35_08_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_08_s_7,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,12,16,1.0,,,,,,,,,
d_main_35_08_s_8,d_main_35_08_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_08_s_8,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,16,16,1.0,,,,,,,,,
d_main_35_08_s_9,d_main_35_08_s,Monologue,cinderella,,Locale_MainScenario:d_main_35_08_s_9,False,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,16,5,1.5,,rapi_red,maxwell,drake,laplace,cinderella,grave_p,,
d_main_35_08_s_10,d_main_35_08_s,Monologue,cinderella,,Locale_MainScenario:d_main_35_08_s_10,False,,,,,,,,,,,,,,,,,,,,5,5,1.0,,,,,,,,,
d_main_35_08_s_11,d_main_35_08_s,Monologue,cinderella,,Locale_MainScenario:d_main_35_08_s_11,False,,,,,,,,,,,,,,,,,,,,5,5,1.0,,,,,,,,,
d_main_35_08_s_12,d_main_35_08_s,Monologue,cinderella,,Locale_MainScenario:d_main_35_08_s_12,False,,,,,,,,,,,,,,,,,,,,5,5,1.0,,,,,,,,,
d_main_35_08_s_13,d_main_35_08_s,Self,cinderella,,Locale_MainScenario:d_main_35_08_s_13,False,rapi_red,5,idle,maxwell,3,angry,drake,1,idle,laplace,13,idle,cinderella,15,angry,grave_p,17,idle,,5,5,1.0,,,,,,,,,
d_main_35_08_s_14,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_14,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,5,50,1.0,,,,,,,,,
d_main_35_08_s_15,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_15,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,
d_main_35_08_s_16,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_16,False,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,
d_main_35_08_s_17,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_17,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,
d_main_35_08_s_18,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_18,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,50,4,1.0,,,,,,,,,
d_main_35_08_s_19,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_19,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_20,d_main_35_08_s,Self,rapi_red,,Locale_MainScenario:d_main_35_08_s_20,False,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_21,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_21,False,,5,think,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_22,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_22,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,angry,,17,idle,,4,4,1.0,,,,,,,,,
d_main_35_08_s_23,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_23,True,,5,idle,,3,idle_02,,1,idle,,13,idle,,15,angry,,17,idle,,4,30,1.0,,,,,,,,,
d_main_35_08_s_24,d_main_35_08_s,Speech,laplace,laplace,Locale_MainScenario:d_main_35_08_s_24,True,,5,idle,,3,idle_02,,1,idle,,13,shy,,15,angry,,17,idle,,S_130,S_130,1.0,,,,,,,,,
d_main_35_08_s_25,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_25,True,,5,idle,,3,idle_02,,1,idle,,13,shy,,15,angry,,17,idle,,30,30,1.0,,,,,,,,,
d_main_35_08_s_26,d_main_35_08_s,Speech,drake,drake,Locale_MainScenario:d_main_35_08_s_26,True,,5,idle,,3,idle_02,,1,no,,13,shy,,15,angry,,17,idle,,10,10,1.0,,,,,,,,,
d_main_35_08_s_27,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_27,True,,5,idle,,3,sad,,1,no,,13,shy,,15,angry,,17,idle,,30,30,1.0,,,,,,,,,
d_main_35_08_s_28,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_28,False,,5,idle,,3,angry,,1,no,,13,shy,,15,angry,,17,idle,,30,3,1.0,,,,,,,,,
d_main_35_08_s_29,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_29,True,,5,idle,,3,angry,,1,no,,13,shy,,15,angry,,17,idle,,3,3,1.0,,,,,,,,,
d_main_35_08_s_30,d_main_35_08_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_35_08_s_30,True,,5,idle,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,3,3,1.0,,,,,,,,,
d_main_35_08_s_31,d_main_35_08_s,Monologue,maxwell,,Locale_MainScenario:d_main_35_08_s_31,False,,5,idle,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,3,3,1.0,,,,,,,,sfx_scn_bigeggrumble,
d_main_35_08_s_32,d_main_35_08_s,Monologue,maxwell,,Locale_MainScenario:d_main_35_08_s_32,False,,5,idle,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,3,3,1.0,,,,,,,,,
d_main_35_08_s_33,d_main_35_08_s,Self,maxwell,,Locale_MainScenario:d_main_35_08_s_33,False,,5,idle,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,3,3,1.0,,,,,,,,,
d_main_35_08_s_34,d_main_35_08_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_08_s_34,True,,5,angry,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,50,50,1.0,,,,,,,,,
d_main_35_08_s_35,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_35,False,,5,angry,,3,angry,,1,no,,13,no,,15,angry,,17,idle,,50,5,1.0,,,,,,,,,
d_main_35_08_s_36,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_36,False,,5,angry,,3,angry,,1,no,,13,no,,15,angry,,17,idle,EventScene_Chap_35_04,black,black,1.0,,rapi_red,maxwell,drake,laplace,cinderella,grave_p,sfx_scn_bigeggcrack,
d_main_35_08_s_37,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_37,False,,,,,,,,,,,,,,,,,,,,black,black,1.0,,,,,,,,,
d_main_35_08_s_38,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_38,False,,,,,,,,,,,,,,,,,,,,black,black,1.0,,,,,,,,sfx_scn_bigeggcrackshort,
d_main_35_08_s_39,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_39,False,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,sfx_scn_birthrapture1,Low_2
d_main_35_08_s_40,d_main_35_08_s,Monologue,rapi_red,,Locale_MainScenario:d_main_35_08_s_40,False,,,,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,
