id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_gym_09_1,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_1,True,Gym,30,30,1.0,none,,folkwang,7,idle,epinel,5,idle,rumani,3,idle
d_ex_gym_09_2,d_ex_gym_09,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_09_2,True,,30,XS_50,1.0,bgm_story_onlineshopping,,,7,idle,,5,idle,,3,idle
d_ex_gym_09_3,d_ex_gym_09,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_09_3,True,,XS_50,70,1.0,,,,7,pain,,5,idle,,3,idle
d_ex_gym_09_4,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_4,True,,4,4,1.0,,,,7,pain,,5,idle,,3,idle
d_ex_gym_09_5,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_5,True,,4,4,1.0,,,,7,idle,,5,idle,,3,idle
d_ex_gym_09_6,d_ex_gym_09,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_09_6,True,,4,4,1.0,,,,7,idle,,5,idle,,3,idle
d_ex_gym_09_7,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_7,True,,4,30,1.0,,,,7,idle,,5,idle,,3,no
d_ex_gym_09_8,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_8,True,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_9,d_ex_gym_09,Self,rumani,Self,Locale_SuddenStory:d_ex_gym_09_9,False,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_10,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_10,True,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_11,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_11,True,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_12,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_12,True,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_13,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_13,True,,30,30,1.0,,,,7,idle,,5,idle,,3,think
d_ex_gym_09_14,d_ex_gym_09,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_14,True,,30,30,1.0,,,,7,idle,,5,idle,,3,idle
d_ex_gym_09_15,d_ex_gym_09,Self,rumani,Self,Locale_SuddenStory:d_ex_gym_09_15,False,,30,30,1.0,,,,7,idle,,5,idle,,3,idle
