id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_ex_elevator_06_1,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_1,True,viper,1,idle,naga,13,idle,tia,3,idle,Elevator,10,10,1.0,bgm_story_girlstalk,,
d_ex_elevator_06_2,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_2,True,,1,idle,,13,idle,,3,idle,,10,100,1.0,,,
d_ex_elevator_06_3,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_3,True,,1,idle,,13,idle,,3,delight,,300,300,1.0,,,
d_ex_elevator_06_4,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_4,True,,1,idle,,13,idle,,3,delight,,1300,1300,1.0,,,
d_ex_elevator_06_5,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_5,True,,1,idle,,13,idle,,3,delight,,1300,1300,1.0,,,
d_ex_elevator_06_6,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_6,True,,1,idle,,13,idle,,3,delight,,1300,100,2.0,,,
d_ex_elevator_06_7,d_ex_elevator_06,Self,,,Locale_SuddenStory:d_ex_elevator_06_7,False,,1,idle,,13,idle,,3,delight,,100,100,1.0,,,
d_ex_elevator_06_8,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_8,True,,1,idle,,13,idle,,3,delight,,100,31,2.0,,,
d_ex_elevator_06_9,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_9,True,,1,delight,,13,idle,,3,idle,,31,31,1.0,,,
d_ex_elevator_06_10,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_10,True,,1,delight,,13,delight,,3,idle,,31,113,1.0,,,
d_ex_elevator_06_11,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_11,True,,1,idle,,13,delight,,3,idle,,113,113,1.0,,,
d_ex_elevator_06_12,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_12,True,,1,idle,,13,delight,,3,idle,,113,113,1.0,,,
d_ex_elevator_06_13,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_13,True,,1,idle,,13,delight,,3,idle,,113,113,1.0,,,
d_ex_elevator_06_14,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_14,True,,1,idle,,13,delight,,3,delight,,30,30,1.0,,,
d_ex_elevator_06_15,d_ex_elevator_06,Monologue,,,Locale_SuddenStory:d_ex_elevator_06_15,False,,1,idle,,13,delight,,3,delight,,30,30,1.0,,,
d_ex_elevator_06_16,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_16,True,,1,idle,,13,idle,,3,delight,,30,10,1.0,,,
d_ex_elevator_06_17,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_17,True,,1,idle,,13,idle,,3,idle,,10,10,1.0,,,
d_ex_elevator_06_18,d_ex_elevator_06,Monologue,,,Locale_SuddenStory:d_ex_elevator_06_18,False,,1,idle,,13,idle,,3,idle,,10,100,1.0,,,
d_ex_elevator_06_19,d_ex_elevator_06,Self,,,Locale_SuddenStory:d_ex_elevator_06_19,False,,1,idle,,13,idle,,3,idle,,100,100,1.0,,,
d_ex_elevator_06_20,d_ex_elevator_06,Narration,,,Locale_SuddenStory:d_ex_elevator_06_20,False,,1,idle,,13,idle,,3,idle,,100,100,1.0,,sfx_scn_heavytrip,Low_2
d_ex_elevator_06_21,d_ex_elevator_06,Monologue,,,Locale_SuddenStory:d_ex_elevator_06_21,False,,1,idle,,13,idle,,3,idle,,100,10,1.0,,,
d_ex_elevator_06_22,d_ex_elevator_06,Monologue,,,Locale_SuddenStory:d_ex_elevator_06_22,False,,1,idle,,13,idle,,3,idle,,10,10,1.0,,,
d_ex_elevator_06_23,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_23,True,,1,idle,,13,idle,,3,idle,,130,130,1.0,,,
d_ex_elevator_06_24,d_ex_elevator_06,Narration,,,Locale_SuddenStory:d_ex_elevator_06_24,False,,1,idle,,13,idle,,3,idle,,130,130,1.0,,sfx_scn_machinestopsudden,Low_2
d_ex_elevator_06_25,d_ex_elevator_06,Self,,,Locale_SuddenStory:d_ex_elevator_06_25,False,,1,idle,,13,idle,,3,idle,,130,130,1.0,,,
d_ex_elevator_06_26,d_ex_elevator_06,Speech,viper,viper,Locale_SuddenStory:d_ex_elevator_06_26,False,,1,idle,,13,idle,,3,idle,,10,10,1.0,,,
d_ex_elevator_06_27,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_27,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,
d_ex_elevator_06_28,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_28,True,,1,idle,,13,idle,,3,idle,,130,130,1.0,,,
d_ex_elevator_06_29,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_29,True,,1,idle,,13,idle,,3,idle,,130,130,1.0,,,
d_ex_elevator_06_30,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_30,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,
d_ex_elevator_06_31,d_ex_elevator_06,Speech,tia,tia,Locale_SuddenStory:d_ex_elevator_06_31,True,,1,idle,,13,idle,,3,delight,,30,30,1.0,,,
d_ex_elevator_06_32,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_32,False,,1,idle,,13,worry,,3,delight,,130,130,1.0,,,
d_ex_elevator_06_33,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_33,True,,1,idle,,13,worry,,3,delight,,130,130,1.0,,,
d_ex_elevator_06_34,d_ex_elevator_06,Speech,naga,naga,Locale_SuddenStory:d_ex_elevator_06_34,True,,1,idle,,13,worry,,3,delight,,130,130,1.0,,,
d_ex_elevator_06_35,d_ex_elevator_06,Monologue,,,Locale_SuddenStory:d_ex_elevator_06_35,False,,1,idle,,13,worry,,3,idle,,130,1300,1.0,,,
