id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_20af_02_1,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_1,False,EdenIndoor,12,12,1.0,bgm_story_crawlinganxiety,,,,papillon,12,angry,,,,,
d_main_20af_02_2,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_2,True,,12,12,1.0,,,,,,12,angry,,,,,
d_main_20af_02_3,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_3,True,,12,12,1.0,,,,,,12,angry,,,,,
d_main_20af_02_4,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_4,True,,12,12,1.0,,,,,,12,angry,,,,,
d_main_20af_02_5,d_main_20af_02,Narration,,Narration,Locale_MainScenario:d_main_20af_02_5,False,,12,S_120,2.0,,,,,,12,angry,,,,,
d_main_20af_02_6,d_main_20af_02,Narration,,Narration,Locale_MainScenario:d_main_20af_02_6,False,,S_120,S_120,1.0,,,,,,12,angry,,,,,
d_main_20af_02_7,d_main_20af_02,Narration,,Narration,Locale_MainScenario:d_main_20af_02_7,False,,S_120,S_120,1.0,,,,,,12,angry,,,,,
d_main_20af_02_8,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_8,True,,S_120,S_120,1.0,,,,,,12,angry,,,,,
d_main_20af_02_9,d_main_20af_02,Speech,unknown,unknown,Locale_MainScenario:d_main_20af_02_9,True,,black,black,1.0,,,,,,12,angry,,,,,
d_main_20af_02_10,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_10,False,,S_120,12,0.7,,,,,,12,surprise,,,,,
d_main_20af_02_11,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_11,True,,12,12,1.0,,,,,,12,surprise,,,,,
d_main_20af_02_12,d_main_20af_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20af_02_12,True,,12,1,2.0,,,,,,12,surprise,,dorothy,2,idle,
d_main_20af_02_13,d_main_20af_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20af_02_13,True,,1,1,1.0,,,,,,12,surprise,,,2,idle,
d_main_20af_02_14,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_14,True,,1,1,1.0,,,,,,12,idle,,,2,idle,
d_main_20af_02_15,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_15,True,,1,1,1.0,,,,,,12,idle,,,2,idle,
d_main_20af_02_16,d_main_20af_02,Speech,papillon,papillon,Locale_MainScenario:d_main_20af_02_16,True,,1,1,1.0,,,,,,12,delight,,,2,idle,
d_main_20af_02_17,d_main_20af_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20af_02_17,True,,1,1,1.0,,,,,,12,delight,,,2,worry,
