id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker,set_filter_01,set_filter_02,fade,characters/1/hide_char_id,characters/0/hide_char_id
d_ex_modernbar_12_1,d_ex_modernbar_12,Monologue,milk_b,Locale_SuddenStory:d_ex_modernbar_12_1,False,Bar,black,black,1.0,none,,,,,,,,,,,,,
d_ex_modernbar_12_2,d_ex_modernbar_12,Narration,milk_b,Locale_SuddenStory:d_ex_modernbar_12_2,False,,5,2,1.0,bgm_story_epicjazzymoods,sfx_scn_toyshopbell,,,,,,,,,,,,
d_ex_modernbar_12_3,d_ex_modernbar_12,Self,milk_b,Locale_SuddenStory:d_ex_modernbar_12_3,False,,2,2,1.0,,,ade_b,1,idle,milk_b,3,shy3,,,,,,
d_ex_modernbar_12_4,d_ex_modernbar_12,Speech,milk_b,Locale_SuddenStory:d_ex_modernbar_12_4,True,,2,30,1.0,,,,1,idle,,3,shy3,milk_b,,,,,
d_ex_modernbar_12_5,d_ex_modernbar_12,Speech,milk_b,Locale_SuddenStory:d_ex_modernbar_12_5,True,,30,30,1.0,,,,1,idle,,3,delight2,milk_b,,,,,
d_ex_modernbar_12_6,d_ex_modernbar_12,Self,milk_b,Locale_SuddenStory:d_ex_modernbar_12_6,False,,30,30,1.0,,,,1,idle,,3,delight2,,,,,,
d_ex_modernbar_12_7,d_ex_modernbar_12,Speech,ade_b,Locale_SuddenStory:d_ex_modernbar_12_7,True,,30,10,1.0,,,,1,idle,,3,delight2,ade_b,,,,,
d_ex_modernbar_12_8,d_ex_modernbar_12,Monologue,ade_b,Locale_SuddenStory:d_ex_modernbar_12_8,False,,10,10,1.0,,,,1,idle,,3,delight2,,,,,,
d_ex_modernbar_12_9,d_ex_modernbar_12,Self,ade_b,Locale_SuddenStory:d_ex_modernbar_12_9,False,,10,2,1.0,,,,1,idle,,3,delight2,,,,,,
d_ex_modernbar_12_10,d_ex_modernbar_12,Speech,ade_b,Locale_SuddenStory:d_ex_modernbar_12_10,True,,2,2,1.0,,,,1,delight,,3,delight2,ade_b,,,,,
d_ex_modernbar_12_11,d_ex_modernbar_12,Self,ade_b,Locale_SuddenStory:d_ex_modernbar_12_11,False,,2,2,1.0,,,,1,delight,,3,delight2,,,,,,
