id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_powerplant_06_1,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_1,True,TechIndoor,2,2,1.0,none,,,tove,3,idle,maxwell,1,idle,,,,,,,,,
d_ex_powerplant_06_2,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_2,True,,2,2,1.0,bgm_story_languor,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_3,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_3,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_4,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_4,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_5,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_5,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_6,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_6,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_7,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_7,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_8,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_8,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_9,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_9,True,,2,2,1.0,,,,,3,delight,,1,idle,,,,,,,,,
d_ex_powerplant_06_10,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_10,True,,2,2,1.0,,,,,3,delight,,1,idle,,,,,,,,,
d_ex_powerplant_06_11,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_11,True,,2,2,1.0,,,,,3,delight,,1,idle,,,,,,,,,
d_ex_powerplant_06_12,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_12,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
