id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_subquest_1042_e_1,d_subquest_1042_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1042_e_1,True,anis,2,worry,neon,12,idle,rapi,14,idle,IceLand_03,13,13,1.0,bgm_secondhand
d_subquest_1042_e_2,d_subquest_1042_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1042_e_2,True,,2,worry,,12,idle,,14,idle,,13,13,1.0,
d_subquest_1042_e_3,d_subquest_1042_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1042_e_3,True,,2,worry,,12,idle,,14,think,,13,13,1.0,
d_subquest_1042_e_4,d_subquest_1042_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1042_e_4,True,,2,worry,,12,idle,,14,think,,13,1,1.0,
d_subquest_1042_e_5,d_subquest_1042_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1042_e_5,True,,2,idle,,12,idle,,14,think,,1,20,1.0,
d_subquest_1042_e_6,d_subquest_1042_e,Monologue,anis,,Locale_SubScenario:d_subquest_1042_e_6,False,,2,idle,,12,idle,,14,idle,,black,black,1.0,
d_subquest_1042_e_7,d_subquest_1042_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1042_e_7,True,,2,idle,,12,idle,,14,idle,,20,20,1.0,
d_subquest_1042_e_8,d_subquest_1042_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1042_e_8,True,,2,idle,,12,idle,,14,idle,,20,13,1.0,
d_subquest_1042_e_9,d_subquest_1042_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1042_e_9,True,,2,idle,,12,idle,,14,idle,,13,13,1.0,
d_subquest_1042_e_10,d_subquest_1042_e,Self,rapi,Self,Locale_SubScenario:d_subquest_1042_e_10,False,,2,idle,,12,idle,,14,idle,,13,13,1.0,
d_subquest_1042_e_11,d_subquest_1042_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1042_e_11,True,,2,worry,,12,idle,,14,idle,,13,1,1.0,
