id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_13af_02_1,d_main_13af_02,Speech,mana,mana,Locale_MainScenario:d_main_13af_02_1,True,Laboratory,30,30,1.0,bgm_story_fairytalesend_if,,mana,3,idle,andersen,1,idle,ingrid,13,idle,,,
d_main_13af_02_2,d_main_13af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_02_2,True,,30,2,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_3,d_main_13af_02,Speech,mana,mana,Locale_MainScenario:d_main_13af_02_3,True,,2,2,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_4,d_main_13af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_02_4,True,,2,12,2.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_5,d_main_13af_02,Choice,ingrid,,Locale_MainScenario:d_main_13af_02_5,False,,12,12,1.0,,d_main_13af_02_7,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_6,d_main_13af_02,Choice,ingrid,,Locale_MainScenario:d_main_13af_02_6,False,,12,12,1.0,,d_main_13af_02_8,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_7,d_main_13af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_02_7,True,,12,L_130,1.0,,d_main_13af_02_9,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_8,d_main_13af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_02_8,True,,12,L_130,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_9,d_main_13af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_02_9,True,,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_10,d_main_13af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_02_10,True,,L_130,L_130,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_11,d_main_13af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_02_11,True,,L_130,L_10,1.0,,,,3,idle,,1,idle,,13,idle,,,
d_main_13af_02_12,d_main_13af_02,Speech,mana,mana,Locale_MainScenario:d_main_13af_02_12,True,,L_10,30,1.0,,,,3,idle,,1,idle,,13,idle,,,
