id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound,set_filter_01,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_main_24_06_s_1,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_1,False,mihara,5,idle,yuni,3,idle,syuen,1,pain,rapi,13,idle,neon,15,idle,anis,17,void,MissilisOffice,3,S_30,2.0,bgm_emergency,,,,,,,,
d_main_24_06_s_2,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_2,True,,5,idle,,3,shy,,1,pain,,13,idle,,15,idle,,17,void,,S_30,S_30,1.0,,,,,,,,,
d_main_24_06_s_3,d_main_24_06_s,Self,,Self,Locale_MainScenario:d_main_24_06_s_3,False,,5,idle,,3,shy,,1,pain,,13,idle,,15,idle,,17,void,,S_30,S_30,1.0,,,,,,,,,
d_main_24_06_s_4,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_4,True,,5,idle,,3,idle,,1,pain,,13,idle,,15,idle,,17,void,,S_30,3,1.0,,,,,,,,,
d_main_24_06_s_5,d_main_24_06_s,Narration,,Narration,Locale_MainScenario:d_main_24_06_s_5,False,,5,idle,,3,idle,,1,pain,,13,idle,,15,idle,,17,void,,black,black,1.0,,rapi,neon,anis,sfx_scn_electricshock,,,,
d_main_24_06_s_6,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_6,False,,5,idle,,3,idle,,1,pain,,,,,,,,,,,3,3,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_7,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_7,False,,5,idle,,3,idle,,1,pain,,,,,,,,,,,3,3,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_8,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_8,False,,5,idle,,3,idle,,1,pain,,,,,,,,,,,3,3,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_9,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_9,False,,5,idle,,3,idle,,1,pain,,,,,,,,,,,3,2,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_10,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_10,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,2,3,0.7,,,,,,Blur_Low,,,
d_main_24_06_s_11,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_11,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,3,3,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_12,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_12,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,3,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_13,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_13,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_14,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_14,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_30,S_300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_15,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_15,False,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_300,S_300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_16,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_16,False,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_300,S_300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_17,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_17,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_300,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_18,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_18,True,,5,idle,,3,shy,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_19,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_19,True,,5,idle,,3,idle,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_20,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_20,True,,5,idle,,3,idle,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_21,d_main_24_06_s,Narration,,Narration,Locale_MainScenario:d_main_24_06_s_21,False,,5,pain,,3,idle,,1,pain,,,,,,,,,,,black,black,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_22,d_main_24_06_s,Speech,syuen,syuen,Locale_MainScenario:d_main_24_06_s_22,True,,5,pain,,3,idle,,1,pain,,,,,,,,,,,1,S_10,0.7,,,,,,Blur_Low,Low_2,,
d_main_24_06_s_23,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_23,True,,5,pain,,3,think,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_24,d_main_24_06_s,Narration,,Narration,Locale_MainScenario:d_main_24_06_s_24,False,,5,pain,,3,think,,1,pain,,,,,,,,,,,black,black,1.0,,,,,sfx_scn_beatup,Blur_Low,,,
d_main_24_06_s_25,d_main_24_06_s,Speech,syuen,syuen,Locale_MainScenario:d_main_24_06_s_25,True,,5,pain,,3,idle,,1,pain,,,,,,,,,,,S_10,S_100,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_26,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_26,True,,5,pain,,3,idle,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_27,d_main_24_06_s,Speech,yuni,yuni,Locale_MainScenario:d_main_24_06_s_27,True,,5,pain,,3,surprise,,1,pain,,,,,,,,,,,S_30,S_30,1.0,,,,,,Blur_Low,,,
