id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound
d_main_39_06_1,d_main_39_06,Self,nayuta_n,Locale_MainScenario:d_main_39_06_1,False,nayuta_n,1,idle,rapi_red,13,idle,RaptilionFarm,100,100,1.0,bgm_story_halo,,,,,,,,,,,
d_main_39_06_2,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_2,True,,1,idle,,13,idle,,100,10,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_3,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_3,True,,1,idle,,13,idle,,10,10,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_4,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_4,True,,1,idle,,13,idle,,10,10,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_5,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_5,True,,1,idle,,13,idle,,10,10,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_6,d_main_39_06,Speech,rapi_red,Locale_MainScenario:d_main_39_06_6,True,,1,idle,,13,idle,,10,113,1.0,,rapi_red,,,,,,,,,,
d_main_39_06_7,d_main_39_06,Speech,rapi_red,Locale_MainScenario:d_main_39_06_7,True,,1,idle,,13,idle,,113,113,1.0,,rapi_red,,,,,,,,,,
d_main_39_06_8,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_8,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_9,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_9,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_10,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_10,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_11,d_main_39_06,Self,nayuta_n,Locale_MainScenario:d_main_39_06_11,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,
d_main_39_06_12,d_main_39_06,Self,nayuta_n,Locale_MainScenario:d_main_39_06_12,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,
d_main_39_06_13,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_13,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_14,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_14,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_15,d_main_39_06,Self,nayuta_n,Locale_MainScenario:d_main_39_06_15,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,
d_main_39_06_16,d_main_39_06,Speech,rapi_red,Locale_MainScenario:d_main_39_06_16,True,,1,idle,,13,idle,,113,113,1.0,,rapi_red,,,,,,,,,,
d_main_39_06_17,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_17,True,,1,idle,,13,idle,,113,113,1.0,,nayuta_n,,,,,,,,,,
d_main_39_06_18,d_main_39_06,Self,nayuta_n,Locale_MainScenario:d_main_39_06_18,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,
d_main_39_06_19,d_main_39_06,Speech,rapi_red,Locale_MainScenario:d_main_39_06_19,True,,1,idle,,13,no,,130,1300,0.7,,rapi_red,,,,,,,,,,
d_main_39_06_20,d_main_39_06,Speech,nayuta_n,Locale_MainScenario:d_main_39_06_20,True,,1,idle,,13,no,,100,100,1.0,,nayuta_n,,,,,,,,,,
