id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_38_05_s_1,d_main_38_05_s,Narration,Locale_MainScenario:d_main_38_05_s_1,False,City,5,2,1.0,bgm_story_apricot,,,,,,,,,,,,,,,,
d_main_38_05_s_2,d_main_38_05_s,Narration,Locale_MainScenario:d_main_38_05_s_2,False,,2,2,1.0,,,,,,,,,,,,,,,,,
d_main_38_05_s_3,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_3,False,,2,2,1.0,,anis,anis,neon,3,idle,anis,1,void,,,,,,,,
d_main_38_05_s_4,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_4,False,,2,2,1.0,,neon,neon,,3,idle,,1,void,,,,,,,,
d_main_38_05_s_5,d_main_38_05_s,Narration,Locale_MainScenario:d_main_38_05_s_5,False,,2,10,1.0,,anis,,,3,idle,,1,void,,,,,,,,
d_main_38_05_s_6,d_main_38_05_s,Narration,Locale_MainScenario:d_main_38_05_s_6,False,,10,10,1.0,,anis,,,3,idle,,1,void,,,,,,,,
d_main_38_05_s_7,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_7,True,,10,2,1.0,,anis,anis,,3,idle,,1,void,,,,,,,,
d_main_38_05_s_8,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_8,True,,2,2,1.0,,neon,neon,,3,worry,,1,void,,,,,,,,
d_main_38_05_s_9,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_9,True,,2,2,1.0,,neon,neon,,3,worry,,1,void,,,,,,,,
d_main_38_05_s_10,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_10,True,,2,2,1.0,,anis,anis,,3,worry,,1,worry,,,,,,,,
d_main_38_05_s_11,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_11,True,,2,2,1.0,,neon,neon,,3,worry,,1,worry,,,,,,,,
d_main_38_05_s_12,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_12,True,,2,2,1.0,,anis,anis,,3,worry,,1,worry,,,,,,,,
d_main_38_05_s_13,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_13,True,,2,S_30,1.0,,neon,neon,,3,angry,,1,worry,,,,,,,,
d_main_38_05_s_14,d_main_38_05_s,Speech,Locale_MainScenario:d_main_38_05_s_14,True,,S_30,10,1.0,,anis,anis,,3,angry,,1,no,,,,,,,,
