id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,fade
d_main_21_06_1,d_main_21_06,Monologue,Locale_MainScenario:d_main_21_06_1,False,Launcher,17,1,3.0,bgm_intotheswarm,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_06_2,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_2,True,,1,1,1.0,,johan,johan,anis,7,void,neon,5,idle,rapi,3,idle,johan,1,idle,harran,13,idle,isabel,15,idle,noah,17,idle,,
d_main_21_06_3,d_main_21_06,Self,Locale_MainScenario:d_main_21_06_3,False,,1,1,1.0,,johan,Self,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
d_main_21_06_4,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_4,True,,1,1,1.0,,johan,johan,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
d_main_21_06_5,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_5,True,,1,L_10,1.0,,johan,johan,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
d_main_21_06_6,d_main_21_06,Monologue,Locale_MainScenario:d_main_21_06_6,False,,L_10,L_10,1.0,,,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,johan,
d_main_21_06_7,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_7,True,,7,7,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,black
d_main_21_06_8,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_8,True,,15,15,1.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_9,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_9,True,,7,7,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_10,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_10,True,,15,15,1.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
