id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_30_06_s_1,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_1,False,CrystalField_1,1,1,1.0,bgm_mystery,Blur_Low,Vignetting,,,,,,,,
d_main_30_06_s_2,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_2,True,,1,10,1.0,,,,rapi,rapi,rapi,1,angry,,,
d_main_30_06_s_3,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_3,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_4,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_4,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_5,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_5,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_6,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_6,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_7,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_7,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_8,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_8,True,,10,10,1.0,,,,rapi,rapi,,1,think,,,
d_main_30_06_s_9,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_9,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,,
d_main_30_06_s_10,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_10,False,,10,10,1.0,,,,rapi,,,1,worry,,,
d_main_30_06_s_11,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_11,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,,
d_main_30_06_s_12,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_12,True,,10,100,2.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_13,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_13,True,,100,100,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_14,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_14,True,,100,100,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_15,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_15,True,,100,100,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_16,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_16,False,,100,100,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_17,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_17,True,,100,100,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_18,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_18,True,,100,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_19,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_19,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_20,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_20,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_21,d_main_30_06_s,Monologue,Locale_MainScenario:d_main_30_06_s_21,False,,10,10,1.0,,Vignetting,,rapi,,,1,idle,,,
d_main_30_06_s_22,d_main_30_06_s,Monologue,Locale_MainScenario:d_main_30_06_s_22,False,,black,black,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_23,d_main_30_06_s,Monologue,Locale_MainScenario:d_main_30_06_s_23,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_24,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_24,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_25,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_25,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_26,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_26,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_27,d_main_30_06_s,Monologue,Locale_MainScenario:d_main_30_06_s_27,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_28,d_main_30_06_s,Monologue,Locale_MainScenario:d_main_30_06_s_28,False,,black,black,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_29,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_29,True,,10,10,1.0,,,,rapi,rapi,,1,think,,,
d_main_30_06_s_30,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_30,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_31,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_31,False,,10,10,1.0,,,,rapi,,,1,idle,,,
d_main_30_06_s_32,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_32,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_33,d_main_30_06_s,Speech,Locale_MainScenario:d_main_30_06_s_33,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,
d_main_30_06_s_34,d_main_30_06_s,Self,Locale_MainScenario:d_main_30_06_s_34,False,,10,10,1.0,,,,rapi,,,1,idle,,,
