id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,jump_target,play_sound
d_ex_wingofvictory_01_1,d_ex_wingofvictory_01,Monologue,Locale_SuddenStory:d_ex_wingofvictory_01_1,True,NikkeRoom,black,black,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,
d_ex_wingofvictory_01_2,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_2,True,,1,1,1.0,,vesti,vesti,vesti,1,shy,Grey,,,,,,,,
d_ex_wingofvictory_01_3,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_3,True,,1,1,1.0,,vesti,vesti,,1,shy,Grey,,,,,,,,
d_ex_wingofvictory_01_4,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_4,True,,1,S_10,1.0,,vesti,vesti,,1,idle,Grey,,,,,,,,
d_ex_wingofvictory_01_5,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_5,True,,S_10,S_10,1.0,,vesti,vesti,,1,idle,Grey,,,,,,,,
d_ex_wingofvictory_01_6,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_6,True,RoyalRoad,1,1,1.0,,rupee,rupee,,1,idle,Grey,vesti,rupee,1,surprise,black,,,
d_ex_wingofvictory_01_7,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_7,True,,1,1,1.0,,rupee,rupee,,,,Grey,,,1,sad,,,,
d_ex_wingofvictory_01_8,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_8,True,,1,1,1.0,,rupee,rupee,,,,Grey,,,1,sad,,,,
d_ex_wingofvictory_01_9,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_9,True,,1,10,1.0,,rupee,rupee,,,,Grey,,,1,sad,,,,
d_ex_wingofvictory_01_10,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_10,True,,10,10,1.0,,rupee,rupee,,,,Grey,,,1,sad,,,,
d_ex_wingofvictory_01_11,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_11,True,CommanderRoom,1,1,1.0,bgm_story_fairytalesend_if,novel,novel,novel,1,think,,,,1,sad,black,rupee,,
d_ex_wingofvictory_01_12,d_ex_wingofvictory_01,Speech,Locale_SuddenStory:d_ex_wingofvictory_01_12,True,,1,1,1.0,,novel,novel,,1,think,,,,,,,,,
