id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_11_06_e_1,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_1,True,laplace,1,idle_alt,maxwell,3,idle,rapi,5,idle,Desert_03,S_10,S_10,1.0,bgm_blurredvision,,,,,,
d_main_11_06_e_2,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_2,False,,1,"idle_alt,expression_0_alt,idle",,3,idle,,5,idle,,S_10,S_10,1.0,,,,,,,
d_main_11_06_e_3,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_3,False,,1,angry,,3,idle,,5,idle,,S_10,1,1.0,,,,,,,
d_main_11_06_e_4,d_main_11_06_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_e_4,True,,1,angry,,3,idle,,5,idle,,1,2,1.0,,,,,,,
d_main_11_06_e_5,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_5,True,,1,angry,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_6,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_6,True,,1,angry,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_7,d_main_11_06_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_e_7,True,,1,angry,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_8,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_8,True,,1,idle,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_9,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_9,True,,1,idle,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_10,d_main_11_06_e,Narration,,Narration,Locale_MainScenario:d_main_11_06_e_10,False,,1,idle,,3,idle,,5,idle,,2,2,1.0,none,sfx_scn_earthquake,Low_2,,,,
d_main_11_06_e_11,d_main_11_06_e,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_e_11,True,,1,angry,,3,idle,,5,idle,,2,2,1.0,,,,,,,
d_main_11_06_e_12,d_main_11_06_e,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_e_12,True,,1,angry,,3,idle,,5,idle,,2,2,1.0,bgm_disaster,,,shifty,OP_leftup,no,
d_main_11_06_e_13,d_main_11_06_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_e_13,True,,1,angry,,3,angry,,5,idle,,2,2,1.0,,,,,OP_leftup,no,
d_main_11_06_e_14,d_main_11_06_e,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_e_14,True,,1,angry,,3,angry,,5,idle,,2,2,1.0,,,,,OP_leftup,no,
d_main_11_06_e_15,d_main_11_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_e_15,True,,1,angry,,3,angry,,5,idle,,5,500,0.7,,,,,OP_leftup,no,
d_main_11_06_e_16,d_main_11_06_e,Narration,,Narration,Locale_MainScenario:d_main_11_06_e_16,False,,1,angry,,3,angry,,5,idle,,black,black,1.0,,,,,OP_leftup,no,shifty
d_main_11_06_e_17,d_main_11_06_e,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_e_17,True,,1,angry,,3,angry,,5,idle,,black,black,1.0,,,,,,,
d_main_11_06_e_18,d_main_11_06_e,Narration,,Narration,Locale_MainScenario:d_main_11_06_e_18,False,,1,angry,,3,angry,,5,idle,,black,black,1.0,,,,,,,
d_main_11_06_e_19,d_main_11_06_e,Monologue,,,Locale_MainScenario:d_main_11_06_e_19,False,,1,angry,,3,angry,,5,idle,,black,black,1.0,,,,,,,
