id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1313_e_1,d_subquest_1313_e,Speech,johan,johan,Locale_SubScenario:d_subquest_1313_e_1,True,CityForest_03_d,L_10,L_10,1.0,bgm_story_fairytalesend_if,,johan,1,idle,rapi,13,idle,anis,15,void,neon,17,idle
d_subquest_1313_e_2,d_subquest_1313_e,Monologue,,,Locale_SubScenario:d_subquest_1313_e_2,False,,L_10,L_10,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_3,d_subquest_1313_e,Self,,,Locale_SubScenario:d_subquest_1313_e_3,False,,L_10,L_10,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_4,d_subquest_1313_e,Speech,johan,johan,Locale_SubScenario:d_subquest_1313_e_4,True,,L_10,L_10,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_5,d_subquest_1313_e,Monologue,,,Locale_SubScenario:d_subquest_1313_e_5,False,,black,black,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_6,d_subquest_1313_e,Monologue,,,Locale_SubScenario:d_subquest_1313_e_6,False,,black,black,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_7,d_subquest_1313_e,Self,,,Locale_SubScenario:d_subquest_1313_e_7,False,,L_10,L_10,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_8,d_subquest_1313_e,Speech,johan,johan,Locale_SubScenario:d_subquest_1313_e_8,True,,L_10,L_10,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_9,d_subquest_1313_e,Monologue,,,Locale_SubScenario:d_subquest_1313_e_9,False,,black,black,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_10,d_subquest_1313_e,Monologue,,,Locale_SubScenario:d_subquest_1313_e_10,False,,black,black,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_11,d_subquest_1313_e,Self,,,Locale_SubScenario:d_subquest_1313_e_11,False,,black,black,1.0,,,,1,idle,,13,idle,,15,void,,17,idle
d_subquest_1313_e_12,d_subquest_1313_e,Narration,,,Locale_SubScenario:d_subquest_1313_e_12,False,,black,black,1.0,,sfx_scn_rapturelanding,,1,idle,,13,idle,,15,void,,17,idle
