id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,conversation_id,characters/2/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id
d_main_35bf_07_1,d_main_35bf_07,Narration,rapi_red,Locale_MainScenario:d_main_35bf_07_1,False,rapi_red,5,idle,ElevatorOut,black,black,1.0,bgm_inark,,,,,,,,,,,,,,,,,
d_main_35bf_07_2,d_main_35bf_07,Speech,rapi_red,Locale_MainScenario:d_main_35bf_07_2,False,,5,idle,,1,5,2.0,,rapi_red,,,,,,,,,,,,,,,,
d_main_35bf_07_3,d_main_35bf_07,Self,rapi_red,Locale_MainScenario:d_main_35bf_07_3,False,,5,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,
d_main_35bf_07_4,d_main_35bf_07,Speech,rapi_red,Locale_MainScenario:d_main_35bf_07_4,True,,5,idle,,5,5,1.0,,rapi_red,,,,,,,,,,,,,,,,
d_main_35bf_07_5,d_main_35bf_07,Self,rapi_red,Locale_MainScenario:d_main_35bf_07_5,False,,5,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,
d_main_35bf_07_6,d_main_35bf_07,Monologue,rapi_red,Locale_MainScenario:d_main_35bf_07_6,False,,5,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,
d_main_35bf_07_7,d_main_35bf_07,Monologue,rapi_red,Locale_MainScenario:d_main_35bf_07_7,False,,5,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,
d_main_35bf_07_8,d_main_35bf_07,Narration,rapi_red,Locale_MainScenario:d_main_35bf_07_8,False,,5,idle,,5,50,0.7,event_bgm_laplace,,sfx_scn_glassbreak,Low_2,,,,,,,,,,,,,,
d_main_35bf_07_9,d_main_35bf_07,Monologue,rapi_red,Locale_MainScenario:d_main_35bf_07_9,False,,5,idle,,50,50,1.0,,,,,,,,,,,,,,,,,,
d_main_35bf_07_10,d_main_35bf_07,Speech,rapi_red,Locale_MainScenario:d_main_35bf_07_10,False,,5,angry,,50,50,1.0,,rapi_red,,,,,,,,,,,,,,,,
d_main_35bf_07_11,d_main_35bf_07,Speech,laplace,Locale_MainScenario:d_main_35bf_07_11,True,,5,angry,,50,4,1.0,,laplace,,,laplace,3,idle,,,,,,,,,,,
d_main_35bf_07_12,d_main_35bf_07,Speech,rapi_red,Locale_MainScenario:d_main_35bf_07_12,True,,5,angry,,4,4,1.0,,rapi_red,,,,3,idle,,,,,,,,,,,
d_main_35bf_07_13,d_main_35bf_07,Speech,rapi_red,Locale_MainScenario:d_main_35bf_07_13,True,,5,angry,,4,4,1.0,,rapi_red,,,,3,idle,,,,,,,,,,,
d_main_35bf_07_14,d_main_35bf_07,Speech,laplace,Locale_MainScenario:d_main_35bf_07_14,True,,5,angry,,4,4,1.0,,laplace,,,,3,delight,,,,,,,,,,,
d_main_35bf_07_15,d_main_35bf_07,Narration,laplace,Locale_MainScenario:d_main_35bf_07_15,False,,5,angry,,4,1,1.0,,,sfx_scn_heavymetaldrop,Low_2,,3,delight,,,,,,,,,,,
d_main_35bf_07_16,d_main_35bf_07,Monologue,laplace,Locale_MainScenario:d_main_35bf_07_16,False,,5,angry,,1,1,1.0,,,,,,3,idle,,,,,,,,,,,
d_main_35bf_07_17,d_main_35bf_07,Speech,drake,Locale_MainScenario:d_main_35bf_07_17,True,,5,angry,,1,10,1.0,,drake,,,,3,idle,drake,1,idle,,,,,,,,
d_main_35bf_07_18,d_main_35bf_07,Self,drake,Locale_MainScenario:d_main_35bf_07_18,False,,5,idle,,10,10,1.0,,,,,,3,idle,,1,idle,,,,,,,,
d_main_35bf_07_19,d_main_35bf_07,Speech,drake,Locale_MainScenario:d_main_35bf_07_19,True,,5,idle,,10,10,1.0,,drake,,,,3,idle,,1,angry,,,,,,,,
d_main_35bf_07_20,d_main_35bf_07,Self,drake,Locale_MainScenario:d_main_35bf_07_20,False,,5,idle,,10,10,1.0,,,,,,3,idle,,1,angry,,,,,,,,
d_main_35bf_07_21,d_main_35bf_07,Speech,drake,Locale_MainScenario:d_main_35bf_07_21,True,,5,idle,,10,10,1.0,,drake,,,,3,idle,,1,idle,,,,,,,,
d_main_35bf_07_22,d_main_35bf_07,Self,drake,Locale_MainScenario:d_main_35bf_07_22,False,,5,idle,,10,10,1.0,,,,,,3,idle,,1,idle,,,,,,,,
d_main_35bf_07_23,d_main_35bf_07,Speech,drake,Locale_MainScenario:d_main_35bf_07_23,True,,5,idle,,10,10,1.0,,drake,,,,3,idle,,1,delight,,,,,,,,
d_main_35bf_07_24,d_main_35bf_07,Self,drake,Locale_MainScenario:d_main_35bf_07_24,False,,5,idle,,10,10,1.0,,,,,,3,idle,,1,delight,,,,,,,,
d_main_35bf_07_25,d_main_35bf_07,Speech,drake,Locale_MainScenario:d_main_35bf_07_25,True,,5,idle,,10,1,1.0,,drake,,,,3,idle,,1,delight,,,,,,,,
d_main_35bf_07_26,d_main_35bf_07,Monologue,drake,Locale_MainScenario:d_main_35bf_07_26,False,,5,idle,,1,13,1.0,,,sfx_scn_naturalfootstep,,,3,idle,,1,delight,,,,,,,,
d_main_35bf_07_27,d_main_35bf_07,Speech,maxwell,Locale_MainScenario:d_main_35bf_07_27,True,,5,idle,,13,13,1.0,,maxwell,,,,3,idle,,1,idle,maxwell,13,idle,,,,,
d_main_35bf_07_28,d_main_35bf_07,Speech,maxwell,Locale_MainScenario:d_main_35bf_07_28,True,,5,idle,,13,13,1.0,,maxwell,,,,3,idle,,1,idle,,13,angry,,,,,
d_main_35bf_07_29,d_main_35bf_07,Speech,maxwell,Locale_MainScenario:d_main_35bf_07_29,False,,5,idle,,13,13,1.0,,maxwell,,,,3,idle,,1,idle,,13,angry,,,,,
d_main_35bf_07_30,d_main_35bf_07,Speech,maxwell,Locale_MainScenario:d_main_35bf_07_30,True,,5,idle,,13,13,1.0,,maxwell,,,,3,idle,,1,idle,,13,angry,,,,,
d_main_35bf_07_31,d_main_35bf_07,Speech,laplace,Locale_MainScenario:d_main_35bf_07_31,True,,5,idle,,3,3,1.0,,laplace,,,,3,idle,,1,idle,,13,angry,,,,,
