id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_church_06_1,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_1,True,mast,3,idle2,Church,3,30,1.0,bgm_story_languor,,,,,,,,,,
d_ex_church_06_2,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_2,True,,3,idle2,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_3,d_ex_church_06,Choice,,,Locale_SuddenStory:d_ex_church_06_3,False,,3,idle2,,30,30,1.0,,d_ex_church_06_5,,,,,,,,,
d_ex_church_06_4,d_ex_church_06,Choice,,,Locale_SuddenStory:d_ex_church_06_4,False,,3,idle2,,30,30,1.0,,d_ex_church_06_8,,,,,,,,,
d_ex_church_06_5,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_5,True,,3,idle2,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_6,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_6,True,,3,idle2,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_7,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_7,True,,3,idle2,,30,30,1.0,,d_ex_church_06_14,,,,,,,,,
d_ex_church_06_8,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_8,True,,3,angry,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_9,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_9,True,,3,angry,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_10,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_10,True,,3,angry,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_11,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_11,True,,3,angry,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_12,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_12,True,,3,angry,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_13,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_13,True,,3,angry,,30,30,1.0,,d_ex_church_06_14,,,,,,,,,
d_ex_church_06_14,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_14,True,,3,idle2,,30,30,1.0,,,,,,,,,,,
d_ex_church_06_15,d_ex_church_06,Speech,mast,mast,Locale_SuddenStory:d_ex_church_06_15,True,,3,idle2,,30,30,1.0,,,,,,,,,,,
